,FTMIGMI/LBEATREU inst_corr,FTMIGMI/LBEATREU hist_corr,RU20INTR/STI inst_corr,RU20INTR/STI hist_corr
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,1.687548829284231,,,
107,1.687548829284231,,,
108,1.687548829284231,,,
109,1.687548829284231,,,
110,1.687548829284231,,,
111,1.687548829284231,,,
112,1.687548829284231,,,
113,1.687548829284231,,,
114,1.687548829284231,,,
115,1.687548829284231,,,
116,1.687548829284231,,0.5306018907772544,
117,1.687548829284231,,0.7122748035609693,
118,1.687548829284231,,0.9651152983683983,
119,1.687548829284231,,0.9154095452784207,
120,1.687548829284231,,0.9154095452784207,
121,1.687548829284231,,0.9154095452784207,
122,1.687548829284231,,0.7936271192491762,
123,1.687548829284231,,0.7630724765619664,
124,1.687548829284231,,-0.01193521938776642,
125,1.687548829284231,,-0.008832949765951429,
126,1.687548829284231,,0.4053221482384141,
127,1.687548829284231,0.8416296345302128,0.6271863246476351,
128,0.8417176511982382,0.877291711336958,0.7169112755841701,
129,0.8417176511982382,0.8868194549618059,0.7169112755841701,
130,0.8417176511982382,0.8823916497520159,0.7169112755841701,
131,0.8417176511982382,0.8529591099732123,0.7169112755841701,
132,0.8417176511982382,0.881602657715553,0.7169112755841701,
133,0.8417176511982382,0.8607252332931113,0.7169112755841701,
134,0.8417176511982382,0.8370663643261429,0.7169112755841701,
135,0.8417176511982382,0.8102239752756234,0.7169112755841701,
136,0.8417176511982382,0.8195695908471602,0.9647095485574021,
137,0.8417176511982382,0.797304457220873,0.9386622836376469,0.18334161881937597
138,0.8417176511982382,0.7798333823595065,0.9386622836376469,0.2900549536332733
