,CAC/FTMIGMI inst_corr,CAC/FTMIGMI hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,0.4603850392848636,
113,0.9805564181844091,
114,0.9187542220214542,
115,0.9187542220214542,
116,0.9187542220214542,
117,0.9187542220214542,
118,0.43900010482573587,
119,-0.04843443915635725,
120,0.08812410972769143,
121,0.9928211172555068,
122,0.9928211172555068,
123,0.9928211172555068,
124,0.9673321259049124,
125,0.9673321259049124,
126,0.9673321259049124,
127,0.9986966159717269,
128,0.9086502387108084,
129,0.5291618412985865,
130,0.38220115929017395,
131,0.054185135390402685,
132,0.23930376645832785,
133,0.7393313368380126,0.1385890013530213
134,0.8939582453530956,0.09677377512474003
135,0.8939582453530956,0.08070360897696448
136,0.8939582453530956,0.023446873251498954
137,0.8939582453530956,0.05359564848381465
138,0.8939582453530956,0.07900388406269178
139,0.8939582453530956,0.09414033792375906
140,0.8939582453530956,0.11917884558721953
141,0.8939582453530956,0.23426567713988908
142,0.8939582453530956,0.252060254540865
143,0.8939582453530956,0.23742190367631724
144,0.8939582453530956,0.2163638341253992
145,0.8939582453530956,0.11538893440298771
146,0.9634966263071015,0.048172634811208204
147,0.7155502089361858,-0.007066708893563331
148,0.7741025080471035,0.03242442617812731
149,0.7741025080471035,0.07540740265334345
150,0.7741025080471035,0.10723109479781827
151,0.9996035031823259,0.34401181114647755
152,0.9996035031823259,0.35747022565808506
153,0.9996035031823259,0.5522840416018966
154,0.7087010208776181,0.6718418917286705
155,0.5285950450111704,0.755701077103865
156,0.6271644980764917,0.8438133522655233
157,0.6380152846125203,0.7164590079815213
158,0.5174871792488449,0.7291606462674335
159,0.988798173167636,0.7502517634630504
160,0.988798173167636,0.7647946213127079
161,0.7513822450912453,0.7215326543400415
162,0.7015292819524956,0.7479779372257831
163,0.529107310581091,0.7659635106824093
164,0.5352431710312151,0.7392864788438792
165,0.6645127840544263,0.7356611367789166
166,0.4052638237414585,0.7085650752939201
167,0.6628574278559028,0.7017940529366431
