,FNERTR/JPEIGLBL inst_corr,FNERTR/JPEIGLBL hist_corr,LG30TRUU/NAGLAS inst_corr,LG30TRUU/NAGLAS hist_corr
249,0.373855364206478,0.19375362297256196,0.472574297521858,0.03961244209704209
250,0.5975292679306526,0.16602301088125923,-0.03433035186493064,-0.058252528899433054
251,0.5696536432632348,0.2162590550619784,-0.05599506919680876,-0.10484983086093222
252,0.13014849717627888,0.1562123425961495,0.35621754853198623,-0.07689219409896032
253,-0.1963286278943617,0.14508108832983846,0.5473860729508199,-0.0612909680640541
254,-0.8844626861709981,0.09326096378162965,0.6755084708849346,-0.07266587389651946
255,-0.778954940737335,0.0798830435266198,-0.053293664538814046,-0.09001943591609245
256,-0.27808942327023534,0.03532188264985234,-0.13228394059887724,-0.06894674728102745
257,0.10190303287556565,0.026854717466540487,0.9937699282932023,0.0035939531878912945
258,0.45582181248923037,0.021571184074808753,0.8736551959329879,0.10772946719823326
259,0.8390175713763618,-0.0325450896500541,0.800353949723252,0.08167954528398597
260,0.8390175713763618,-0.03510128740769079,0.7131878796567985,0.0656259889336606
261,0.6630337260656901,-0.006386636618270711,0.6560697446628239,0.02470210412758362
262,0.3285418059023046,0.0022028577096822057,0.7875094917565346,0.021813540879906227
263,-0.27913447085559423,0.10049732646957645,0.7264398518283417,0.013880050566691584
264,-0.40251860147731433,0.09694080188500996,0.8192669687266606,0.11041001662007838
265,-0.23607031383229518,0.03109701065245199,0.8026821610949149,0.2075269496401145
266,0.20370319683207683,0.022133691799464072,0.8026821610949149,0.21052458312899247
267,0.8240283548258145,-0.21571157816073822,0.7103430378945019,0.3029230221823499
268,0.8240283548258145,-0.24721498575439832,0.05733077740373603,0.2385911828812355
269,0.6227173688833003,-0.2323269483302985,0.2979638790573591,0.2742127076304493
270,0.5289423628688213,-0.21231557660850922,0.5038099390072216,0.26682284515208105
271,0.9438486337480237,-0.18962686483650046,0.30080992883122204,0.21865150479899464
272,0.8493082431412832,-0.10063273851020063,0.5251877370257441,0.32309336137205974
273,-0.08434294580406665,-0.172512968675612,0.39224080065977834,0.39824666631593447
274,0.38968794714675614,-0.1405051949231575,-0.03012555879305265,0.33681511463147196
275,0.7355407967961545,-0.10521724256845148,-0.2804404287252819,0.326615398278662
276,0.3199588426261061,0.0015308699379704628,-0.15302772617666976,0.23056584249551199
277,0.5601586705112732,0.07423305308477109,0.265227372187797,0.27157194018266617
278,0.6955362704199485,0.10783956901548855,0.8738910228800891,0.27718872251453264
279,0.31788162976715123,0.15121110336026783,0.8738910228800891,0.2637391556416157
280,0.22509271149164148,0.06598910442045304,0.8738910228800891,0.26582503818750375
281,0.5723340477513559,-0.005535426598182787,0.8738910228800891,0.26903175295202186
282,0.6329504062072135,0.16079492909973284,0.8738910228800891,0.23692609035155135
283,0.5072065160585456,0.14257465885685136,0.8738910228800891,0.16757594820936564
284,0.7554182398712082,0.3131676977577348,0.8738910228800891,0.17356376127328332
285,0.9203118125025348,0.3643004918438871,0.8738910228800891,0.1824227884328466
286,0.6409603577160013,0.3755347682342962,0.8738910228800891,0.15478552785562782
287,0.4849462293341837,0.38176555565753023,0.8738910228800891,-0.005357082713779818
288,0.546115711171616,0.4184033846569931,0.40048224645049046,-0.0010304861382276669
289,0.17482045629770995,0.4201986475041566,-0.17858146599637426,-0.1911467636435248
290,-0.10350927112689486,0.38655932263957593,-0.04769548254558958,-0.11929222128756843
291,-0.04417401161488832,0.1826979402593418,-0.04769548254558958,-0.1466922039333688
292,0.4700977911768009,0.26094084291543546,-0.04769548254558958,-0.12184683679124102
293,0.4700977911768009,0.19738421110494933,0.9140627442109182,-0.08340876756215317
294,0.4981325163720914,0.1976930572399182,0.9140627442109182,-0.0988338361360664
295,0.2731736688775426,0.21863304017299787,0.9140627442109182,-0.1977738534081844
296,0.4303285082407229,0.22760383663023864,0.8766430789617666,0.011185478019071866
297,0.44992157303010644,0.23502789249469677,0.8766430789617666,0.031995840904093124
298,-0.10564052269969695,0.2731482786632229,0.8766430789617666,0.16678992040522483
299,-0.3025248736678036,0.191304118359683,0.8766430789617666,0.13835836427610892
300,0.2556934735872604,0.19328902871148412,0.8766430789617666,0.1516580374308889
301,0.2547258117787011,0.17797283106959888,0.8766430789617666,0.15920819639299152
302,-0.18575640746318672,0.15830057217400537,0.8766430789617666,0.15770077300304725
303,-0.15762958011380893,0.17185449881496265,0.947304563242276,0.19163436974815418
304,-0.04686921924193118,0.11808101656315713,0.5347137668728591,0.2589511208043291
305,-0.10849537912402085,0.11242596801826328,0.7180416496871207,0.3636101772899495
306,-0.44398649464334555,-0.0434058865827248,0.8585274555458738,0.34533946676701216
307,0.11888323688635241,-0.055130629844156946,0.8585274555458738,0.3470113431368798
308,0.7906037558609278,-0.02341725332731027,0.9184343618928966,0.31885490874227174
309,0.641385071776496,-0.01896777863471336,0.15632451624287955,0.33698719711767455
310,-0.035014131459623635,-0.04044755816960667,-0.29861461883581797,0.1564727752989782
311,0.42227695674736937,-0.019018065043861925,-0.30205880281851755,0.2700517942128613
312,0.43678995981148444,0.027357654009871325,0.16477308797405046,0.22994636306029684
313,-0.048992760981144634,0.12326423180150761,-0.022372154844642875,0.1807604836296634
314,-0.2666605389948812,-0.08886976571714844,0.21197897640956956,0.14537451100139204
315,-0.3496023065988773,-0.15543129930527808,0.15216768897559094,0.11552004549069977
316,-0.052287977106075925,-0.15574256526221777,0.6643312814401551,0.1261725336248656
317,0.021957966797099354,-0.16788377054762563,0.6643312814401551,0.12510611046546782
318,0.29011306550377336,-0.15763572992044958,0.6643312814401551,0.06533914914391978
319,0.5389732233210838,-0.10599491023455007,0.6643312814401551,0.0539156123658013
320,0.5793154881183321,-0.08733903474978105,0.6643312814401551,0.04537763908160188
321,0.3674325551211477,-0.04023186528174621,0.6643312814401551,0.023536228542307257
322,0.4390779846954658,0.0008486491635664896,0.8150069533581876,0.03665907855770244
323,0.31225130489700054,-0.015986863107182926,0.5293468054186842,0.07496426727195539
324,0.7149122976067536,-0.0017008108810691882,0.21461089635848057,0.0609890213938386
325,0.5300708756015302,0.015377168880978105,0.17405547191742501,-0.07499986001763868
326,0.6380058478514131,0.06003367797067471,0.5108115351574241,-0.16573855746855184
327,0.6976124716372669,0.07071203790978715,0.540330644490954,-0.24640792829176514
328,0.5864380759103556,0.4225199148054065,0.011821626766845457,-0.17001288953491525
329,0.7096049838615804,0.4592941147842848,0.25806841945628634,-0.2218870626981455
330,0.7096049838615804,0.3980608625332178,0.5790313867673998,0.3643136668461035
331,0.7096049838615804,0.39148562775441914,0.8746782575304677,0.34980658048253066
332,0.7096049838615804,0.45836639391809186,0.8746782575304677,0.43109721637335546
333,0.7096049838615804,0.4611023360977769,0.37387000925254327,0.47263456681820715
334,0.5402584125820017,0.43320980679500415,0.3413455648856039,0.47124339151566147
335,0.8002707018658145,0.47487431455964385,0.9047544345984712,0.4883202739064767
336,0.9661878600188273,0.514966514345282,0.8971709629764992,0.4890953539987503
337,0.8345317220348323,0.5786183255151923,0.5613312038824275,0.5150403969898761
338,0.4746316881034556,0.5646940684842072,0.3026749530799397,0.5243122752111397
339,0.3616646278607394,0.5404115573557562,-0.049711529773315805,0.46540035723110995
340,0.5074166607635223,0.5513653335197042,-0.04644950022151162,0.3304373738597447
341,0.9740349556995072,0.507809713680979,0.7556609631142743,0.30829664565813497
342,0.9466905176655268,0.6160463295698837,0.7556609631142743,0.33512451548065114
343,0.7819862062947259,0.61802623716728,0.616611324993314,0.3809289338000617
344,0.5471978887579783,0.5752943639018798,0.43330802003565017,0.4034416198443237
345,0.5138693818865446,0.7179651991428613,0.1417844536970116,0.41072310708002163
346,0.35798321722694065,0.7304487356239928,-0.22413950530345111,0.39617088217816854
347,0.011406737568104274,0.67709563478466,-0.16522561690934373,0.4013667246439365
348,0.5684582965098567,0.6518387199770624,0.08962396854935518,0.4145367956925593
349,0.5684582965098567,0.6541528250008115,0.1379763146083818,0.39616339584474664
350,0.7975183053960152,0.44151518531485584,0.5533412484498785,0.41169937605972534
351,0.7185180949889227,0.30158562273824485,0.5892839944508548,0.46312964327023787
352,0.46383367274611753,0.3550601913511594,0.05432261621074289,0.209196931185287
353,0.37734195196118925,0.2865834265789316,0.34689383031233534,0.24490757600285723
354,0.5992994954690757,0.35684429167330417,0.630307091873459,0.2809077345591087
355,0.6147722519136906,0.3712210608917596,0.7642161397375972,0.25585270377507296
356,0.23427427973627676,0.3601056215670516,0.4418022733632965,0.22985895821539395
357,0.1720092724312709,0.2232866745774611,0.5153773682553902,0.25559205973796617
358,-0.030818409745266336,0.2085061983349633,0.7757331850468908,0.2753692239346517
359,0.21560087344385795,0.07603302706896858,0.7757331850468908,0.26431370988839137
360,0.5025236441906014,0.10069640162374546,0.7757331850468908,0.23223524402707152
361,0.34177975950308886,0.12984824720207913,0.017524820535505817,0.27622383068083567
362,0.029148334342435956,0.10324798773511447,-0.0889491877069027,0.3135976182994594
363,-0.11271342085249984,0.08987999926878722,0.10013620839252678,0.3295037534679545
364,0.11619474810766328,0.040341411791357466,-0.13352019412951216,0.28665029206760007
