,AXJO/000001.SS inst_corr,AXJO/000001.SS hist_corr
291,0.3060130312619485,0.13252998995293963
292,0.5339610919615652,0.13035830551046312
293,0.5339610919615652,0.18336253949565187
294,0.5339610919615652,0.16618977266603227
295,0.5339610919615652,0.1718332788525311
296,0.7004705570044855,0.1672742004260614
297,0.5063070798006287,0.07813266305978987
298,0.6787956469280899,0.12678992767033917
299,0.6787956469280899,0.06756529763623083
300,0.6787956469280899,0.04441822513738621
301,0.6787956469280899,0.02937968452745106
302,0.593269904316163,0.05117146905453695
303,0.6618305917725649,0.11075262816362966
304,0.6618305917725649,0.06055428362164145
305,0.9851199093171227,0.11541124233498695
306,0.9181259110303732,0.18744291362771265
307,0.9181259110303732,0.1874513572546814
308,0.9181259110303732,0.17437312023262677
309,0.9181259110303732,0.17897216108953445
310,0.9181259110303732,0.21707803774038395
311,0.9518122294066557,0.25618721331412947
312,0.5697324109068225,0.2705187259461689
313,0.4706131823015501,0.27501238457349547
314,0.715580472383364,0.32577847927337883
315,0.715580472383364,0.3127383826518056
316,0.715580472383364,0.3079033971847565
317,0.715580472383364,0.26947356095594255
318,0.715580472383364,0.29552914164200544
319,0.715580472383364,0.3732578507892066
320,0.715580472383364,0.3507878553300088
321,0.8769483471972206,0.39708411139334754
322,0.8847744508063565,0.38071823001200655
323,0.3018104212780336,0.3530184849336372
324,0.1925677367460844,0.2550651196600366
325,0.5352790588399412,0.2092225176717682
326,0.8663146092325269,0.2740049818426555
327,0.8663146092325269,0.20350241045672052
328,0.8663146092325269,0.09495210198495475
329,0.5135410671377849,0.08441507321865603
330,0.3240529640173475,0.002409267072407074
331,0.5512283933189603,-0.015737367420919815
332,0.5456220564270426,-0.014726022906151137
333,0.2304960523797102,-0.005713951257511248
334,0.19327409010571625,-0.1619329286017035
335,0.6409852544593061,-0.07120768609670589
336,0.6409852544593061,-0.19288427877742417
337,0.6409852544593061,-0.18654042992208594
338,0.6409852544593061,-0.11908398155799947
339,0.6409852544593061,-0.11286499270270717
340,0.6409852544593061,-0.11679509923186765
341,0.6409852544593061,-0.1102680033499103
342,0.6409852544593061,-0.11376561711837621
343,0.6409852544593061,-0.2248031122038785
344,0.6409852544593061,-0.2657726975986193
345,0.677137962971765,-0.04320134081495874
346,0.9035972368083661,0.04947397691853259
347,0.9035972368083661,0.07392140975235621
348,0.9035972368083661,-0.029198928217795465
349,0.9035972368083661,-0.021076932039284523
350,0.9200747800596561,-0.02520007528101826
351,0.3569127887203165,-0.10514337023301937
352,0.3430401015683242,-0.006841672878891277
353,0.3877012691122022,-0.04276937993952334
354,0.42703086894167247,-0.04981553265540183
355,0.9565387538619424,-0.012794239234339127
356,0.9565387538619424,0.09383709707278459
357,0.9565387538619424,0.1632036538970371
358,0.9565387538619424,0.17471384729503098
359,0.9565387538619424,0.18147312722643844
360,0.9565387538619424,0.1385161126149778
361,0.9565387538619424,0.1899206199244841
362,0.537125304122498,0.5140033852335079
363,0.537125304122498,0.5059838018162817
364,0.9443609837280089,0.5020802884515936
365,0.49547374005791056,0.7210387243502776
366,0.8883049506717271,0.7352903119157164
367,0.8883049506717271,0.7338148591976483
368,0.8971670948562164,0.7111847749875131
369,0.5199963066248474,0.7056227050120768
370,0.1893177995175669,0.6586704707046673
371,0.23569172642018835,0.6436920900326104
372,0.12317475340980859,0.5400435395326706
373,0.3191671984660465,0.5877215501858406
374,0.356524209391283,0.6006994384119112
375,0.28735046238684403,0.5194562107555273
376,0.17865399325483103,0.5266247321126595
377,0.22736181650757906,0.418729961517418
378,0.3550822776468067,0.4360988966155929
