,AXJO/000001.SS inst_corr,AXJO/000001.SS hist_corr
379,0.8544065250398185,0.4326102943040373
380,0.9971705920866069,0.43556273784532146
381,0.7570313797597789,0.434118841153147
382,0.5797644761343896,0.4353384847539911
383,0.5797644761343896,0.41346664295542396
384,0.8724790684281407,0.3354894877050304
385,0.9734729765304454,0.3422099907714021
386,0.5972197106621117,0.33847593762022826
387,0.3442604356053393,0.047796243603087325
388,0.29209266871364326,-0.004232468710725035
389,0.4350055042493839,-0.0008479777755556503
390,0.6784858214150886,0.0224180032505771
391,0.6784858214150886,0.008886777318246965
392,0.48985798476810666,0.024881033688716202
393,0.42923912536602804,0.027758164226923388
394,0.5053432209069727,0.08827410944978514
395,0.3183930525568033,-0.0009437678255782372
396,0.20788106217801983,-0.05022563960603437
397,0.38265672196168016,-0.05062318287579206
398,0.7269072517055796,-0.048980009192354804
399,0.37671360008356686,0.060940227938384835
400,0.4105272688863604,-0.045743204410297784
401,0.39136522410494623,-0.13692691496071316
402,0.4401428564054087,0.07628501811621738
403,0.8066544239226827,0.042172030250133156
404,0.8066544239226827,0.051390115862098615
405,0.983250207525026,0.06200071699772021
406,0.8447797318057638,0.07844485969801031
407,0.872666276290365,0.13305342604052728
408,0.872666276290365,0.1556062231157648
409,0.872666276290365,0.14526754293158328
410,0.8732012887745364,0.22984633252568243
411,0.871140594171465,0.2374064024730124
412,0.871140594171465,0.2415057959932742
413,0.871140594171465,0.2636314933885706
414,0.9477832386446847,0.29400193476069225
415,0.9692152328553435,0.29733466917931417
416,0.9692152328553435,0.31486750038868444
417,0.44367208652693807,0.33344140517511006
418,0.15055339795322767,0.256809246865864
419,0.39500696751375775,0.27751161165770677
420,0.7133805893479973,0.32007849953205525
421,0.6909762996911226,0.32684250052246294
422,0.5675512612642857,0.3220454099957368
423,0.5692803202619765,0.41278604181084155
424,0.5692803202619765,0.2880199437195754
425,0.9985117855730927,0.35289538901671796
426,0.9985117855730927,0.34194966150079514
427,0.9985117855730927,0.3169342981240084
428,0.9985117855730927,0.3153523351836521
429,0.9985117855730927,0.29268009547020934
430,0.9985117855730927,0.2900193125375542
431,0.9985117855730927,0.27647694260011807
432,0.9985117855730927,0.29917592702018503
433,0.9985117855730927,0.22024762150366112
434,0.9985117855730927,0.25328415075762983
435,0.9985117855730927,0.2035135671029733
436,0.9985117855730927,0.1889930517222422
437,0.9985117855730927,0.1489956388347885
438,0.9985117855730927,0.11352843050474491
439,0.9985117855730927,0.11435605020115523
440,0.9985117855730927,0.38282788028244197
441,0.6641159566171275,0.34400413801685864
442,0.4463907932452314,0.3129618114833594
443,0.5020718439730704,0.34978092916605225
444,0.5020718439730704,0.36610665402212167
445,0.7841401370494901,0.36116293268554417
446,0.7841401370494901,0.36852055577647763
447,0.6776842696963271,0.32829519595274065
448,0.6776842696963271,0.33337286372268216
449,0.6776842696963271,0.3547231453749926
450,0.9379178202292098,0.3205695268502027
451,0.553778227955562,0.3033735796212589
452,0.4916243523828933,0.2186649858736045
453,0.5567468201630359,0.26777295836114623
454,0.5567468201630359,0.2596029215598869
455,0.5567468201630359,0.25289541659562614
456,0.9673073419916506,0.2140946310650728
457,0.9673073419916506,0.2048564382003811
458,0.9673073419916506,0.20092991434661928
459,0.9673073419916506,0.22187395403662216
460,0.9673073419916506,0.1914497018953406
461,0.6432277754143803,0.3468509575261115
462,0.7773225288036733,0.3129616505745171
463,0.7773225288036733,0.3140621389219785
464,0.7773225288036733,0.47008087505743523
465,0.7773225288036733,0.4374128836577705
466,0.7773225288036733,0.4666453696458066
467,0.7773225288036733,0.46804587689219124
468,0.7773225288036733,0.4867873988359128
469,0.7773225288036733,0.4729775708753272
470,0.7773225288036733,0.48313180453781884
471,0.7773225288036733,0.46281397739865915
472,0.716713559840651,0.5774476963011669
473,0.716713559840651,0.5397387484394929
474,0.716713559840651,0.5688737376120672
475,0.5983065336057783,0.5036107186739908
476,0.5116023264432904,0.47263435758591865
477,0.6272940439558466,0.5280596281792106
478,0.6272940439558466,0.5037394959255971
479,0.9725948165244052,0.506321793390322
480,0.7666292490687383,0.45540801265864805
481,0.7666292490687383,0.43200359030505414
482,0.7666292490687383,0.4362902858865504
483,0.7666292490687383,0.24186766967943704
484,0.8940618602358243,0.3505628033970762
485,0.8940618602358243,0.3215869593852102
486,0.8940618602358243,0.3048026085021015
487,0.92539221212886,0.37300454662205884
488,0.7770059304150315,0.37844474778650267
489,0.5597173208482344,0.3701520926316756
490,0.3023916199632799,0.2177442258305684
491,0.8551686517712238,0.19931141031977279
492,0.656271886878571,0.19404242878285138
493,0.5055132787085872,0.48526347773456147
494,0.9093908259720657,0.4560356423166003
495,0.9093908259720657,0.4680909936812156
496,0.7103812316046595,0.44928903660888425
497,0.9503368518161971,0.46486339367654766
498,0.9206178393521505,0.5041099731016653
499,0.9206178393521505,0.46088425423620594
500,0.7344292818970134,0.48914611900900434
501,0.5795706808294949,0.4779174823393351
502,0.1645722441498641,0.49290886876565215
503,0.12992235634797383,0.44674298737514906
504,0.41479232417855405,0.4517089325015275
505,0.41479232417855405,0.4566585859887915
506,0.9813076953480928,0.45225301347475105
507,0.9813076953480928,0.42644592935104314
508,0.9813076953480928,0.40524696638135876
509,0.9813076953480928,0.40846197660856265
510,0.9813076953480928,0.394011240162192
511,0.9813076953480928,0.37580542123957733
512,0.9813076953480928,0.4253022822627036
513,0.9925807326788755,0.39213449334412775
514,0.9390577304716111,0.4274648270478285
515,0.9390577304716111,0.14578991193460128
516,0.8908657853566523,0.117882432863597
517,0.532728319749904,0.3849394180366515
518,0.9944324560175752,0.41458207211890685
519,0.9944324560175752,0.4576313036957882
520,0.9944324560175752,0.44223529109411075
521,0.9944324560175752,0.4182759721692851
522,0.9944324560175752,0.39923326011244403
523,0.6786129830364883,0.418515745476559
524,0.6560837437534593,0.5187858192502377
525,0.6560837437534593,0.5976302676546794
526,0.6560837437534593,0.5967067167320843
527,0.6560837437534593,0.6028439548139446
528,0.6560837437534593,0.6029191911776522
529,0.6560837437534593,0.6101328200928848
530,0.6560837437534593,0.654968585325266
531,0.9582959026330987,0.6347005044606722
532,0.9582959026330987,0.6509772012031525
533,0.9582959026330987,0.6159322786396967
534,0.9582959026330987,0.6028358158218934
535,0.9582959026330987,0.6287331582807193
536,0.7294402197360111,0.7103824228778542
537,0.7294402197360111,0.7134460527565988
538,0.7294402197360111,0.7353222502689017
539,0.7294402197360111,0.5661746311556388
540,0.7294402197360111,0.5384654537001736
541,0.7294402197360111,0.49157512890484356
542,0.7294402197360111,0.5163720024898942
543,0.7294402197360111,0.5111172787109018
544,0.7294402197360111,0.5388186319430593
545,0.7294402197360111,0.5333614382757583
546,0.7294402197360111,0.4886921609583692
547,0.7294402197360111,0.5635623208240541
548,0.7294402197360111,0.587811731247762
549,0.7294402197360111,0.5940789706445816
550,0.7294402197360111,0.570449734135782
551,0.7294402197360111,0.5540683497605289
552,0.7294402197360111,0.5511538781237285
553,0.7294402197360111,0.5883302448438381
554,0.7294402197360111,0.6024758563250693
555,0.9795924847044555,0.6673798126145148
556,0.5876557153410211,0.7149448372958516
557,0.6677790466408874,0.715332050490898
558,0.6677790466408874,0.6875479369849238
559,0.6677790466408874,0.7055695920797803
560,0.6677790466408874,0.698369532340803
561,0.8358280052788395,0.6541780134163516
562,0.8358280052788395,0.6733271630313012
563,0.6114159751408788,0.7191792842048117
564,0.7348383618730672,0.5086797391236857
565,0.5966822680974717,0.5142360744108134
566,0.6669354160770333,0.5547512095841486
567,0.6681835977517747,0.5153394818427472
568,0.6681835977517747,0.5266015207804758
569,0.6681835977517747,0.5202005126031884
570,0.6681835977517747,0.5075956669089648
571,0.9163499225419423,0.5241667816924301
572,0.9163499225419423,0.541587094404756
573,0.9163499225419423,0.5361871026389078
574,0.9163499225419423,0.5297657627043476
575,0.36323730720102343,0.4939845509304517
576,0.3308137804337155,0.46026590509355614
577,0.3308137804337155,0.4759340534599256
578,0.3308137804337155,0.3725605998103569
579,0.9555923814700333,0.21337211867306743
580,0.9555923814700333,0.24462273222724082
581,0.9555923814700333,0.221326822185391
582,0.9555923814700333,0.2624406604646428
583,0.9555923814700333,0.24627811774994876
584,0.9555923814700333,0.23543537225249167
585,0.9555923814700333,0.22684033963852218
586,0.9610844332480161,0.22244736949324598
587,0.9610844332480161,0.2218138245802645
588,0.9610844332480161,0.12040735341002977
589,0.9610844332480161,0.16355486985477008
590,0.9610844332480161,0.13256802144309832
591,0.9610844332480161,0.1301879750599582
592,0.9610844332480161,0.19881023935616615
593,0.9610844332480161,0.08812158370442377
594,0.9610844332480161,0.04301399245642113
595,0.8067214440721743,0.11945539395759516
596,0.6949307140852585,0.05865786316042347
597,0.6949307140852585,0.0733144494333978
598,0.6949307140852585,0.13351691853996467
599,0.9849296046921172,0.2064898338578664
600,0.9849296046921172,0.2916636625287119
601,0.9849296046921172,0.21503273895948946
602,0.9849296046921172,0.12026983335061968
603,0.9452491379047392,0.12174011363606996
604,0.9452491379047392,0.18008279955515216
605,0.9452491379047392,0.192399527877851
606,0.9452491379047392,0.19149721308544462
607,0.9452491379047392,0.18846540352192517
608,0.9452491379047392,0.2788272184308439
609,0.9452491379047392,0.3160546658360376
610,0.9452491379047392,0.2844510629267554
611,0.9452491379047392,0.2664392455093511
612,0.9452491379047392,0.33214651519296073
613,0.9452491379047392,0.33935283845108816
614,0.9452491379047392,0.30150424490022854
615,0.9452491379047392,0.2803182754159094
616,0.9452491379047392,0.28921963005757473
617,0.9452491379047392,0.28446637080392034
618,0.9452491379047392,0.3305644376704437
619,0.5660860656731965,0.38677646781896574
620,0.2629032345660494,0.2221660119505512
621,0.5107175189942198,0.13676283639016976
622,0.5107175189942198,0.08900635497463442
623,0.5107175189942198,0.11108390439366675
624,0.8933508852204836,0.10781654935369485
625,0.8933508852204836,0.07443928871532673
626,0.8933508852204836,0.047885246124016914
627,0.8933508852204836,0.16368182500083417
628,0.8933508852204836,0.160105573885555
629,0.8933508852204836,0.12378568722870831
630,0.8933508852204836,0.14332648470252013
631,0.8933508852204836,0.11451046696427897
632,0.8933508852204836,0.11445346725168559
633,0.8933508852204836,0.1120561661698239
634,0.8933508852204836,0.09484639127685635
635,0.738632621435182,0.08456683685633194
636,0.8270824459723723,-0.018213177085411963
637,0.8868863165495849,-0.021756048249933272
638,0.8868863165495849,0.057559725738169566
639,0.8868863165495849,0.058552760005375376
640,0.8868863165495849,0.05636926095681321
641,0.8868863165495849,0.05012217382406621
642,0.8868863165495849,0.23417927334899963
643,0.8868863165495849,0.2562010724435126
644,0.6729238454523445,0.2502487466065068
645,0.592708561552313,0.288490342484107
646,0.9692539059024634,0.3273127579330891
647,0.9692539059024634,0.3454164271324273
648,0.9692539059024634,0.3361841299875182
649,0.9692539059024634,0.2859596829737973
650,0.9692539059024634,0.26914869542200004
651,0.9692539059024634,0.320564337963029
652,0.5288849251668889,0.27541518034546075
653,0.34294175539096483,0.2510921880870158
654,0.41336385917774715,0.2914484977754563
655,0.41336385917774715,0.2918895074900359
656,0.41336385917774715,0.2872440042246636
657,0.9121691958672027,0.3121038306472458
658,0.9121691958672027,0.3433173252203327
659,0.9121691958672027,0.3356650199667844
660,0.9121691958672027,0.2874255394662634
661,0.9729561444239465,0.2605317950853305
662,0.9729561444239465,0.22262448256955417
663,0.9248595503593251,0.19208027551188983
664,0.9248595503593251,0.1593084840610379
665,0.9248595503593251,0.12657734330134826
666,0.9248595503593251,0.10582502667495373
667,0.9248595503593251,0.10526554107993191
668,0.9248595503593251,0.1439850647403284
669,0.8058357139829143,0.2655413212841351
670,0.4996941388942395,0.6436936817650081
671,0.886916564869313,0.6384004777198529
672,0.886916564869313,0.6426698092057633
673,0.6055842600888615,0.6572845419192312
674,0.6055842600888615,0.6677732895890193
675,0.6055842600888615,0.788419193037181
676,0.6055842600888615,0.8049464058491229
677,0.8704181079392967,0.8078816747969993
678,0.8704181079392967,0.8103598050002209
679,0.6151895669477996,0.8241684144544887
680,0.49833500054897373,0.7705113470991608
681,0.49833500054897373,0.7619494984054985
682,0.49833500054897373,0.7706508154457391
683,0.49833500054897373,0.788446467764277
684,0.49833500054897373,0.7957664044007301
685,0.49833500054897373,0.6621426763789183
686,0.8011443070720209,0.6527104309400602
687,0.8011443070720209,0.6138088148512121
688,0.6690727921666508,0.6040747782241657
689,0.3805694800973316,0.6735794304044708
690,0.3877274278010554,0.631766134568833
691,0.7279614559388031,0.6456543342041158
692,0.698603353159668,0.609017297559689
693,0.698603353159668,0.6270837115795946
694,0.814103949511965,0.6488019503258717
695,0.5497474630132305,0.7069549496186198
696,0.7971377219850566,0.7210280138654629
697,0.7512899376292174,0.7254286146778817
698,0.5696998230477784,0.7122874123083166
699,0.4518480078778914,0.563167664042435
700,0.40088826491370966,0.6643517500579265
701,0.5796428430160319,0.5946010271721259
702,0.7352416142314759,0.6194495324675381
703,0.9100860390055401,0.6200363236057352
704,0.9100860390055401,0.6330021669125743
705,0.7782156720001122,0.6497546632349415
706,0.8094937870829828,0.6830135184559288
707,0.713787434551838,0.7135547765013847
708,0.43692134458607607,0.6976531244025184
709,-0.11422382841627224,0.6692723543418195
710,-0.29339233106511764,0.6022219905810269
711,-0.561399523815385,0.6104739027702265
712,-0.3157778476179626,0.6410241433140326
713,0.01656910038664369,0.6056650511575021
714,0.3996589641405815,0.6149099022381191
715,0.4927829931113241,0.6372943087848512
716,0.7661133523394151,0.6338909769022699
717,0.7661133523394151,0.5942261343443567
718,0.6932441014883237,0.5818581703161697
719,0.6932441014883237,0.5761914091978971
720,0.8548165067124781,0.5502763430617247
721,0.7120388246303972,0.6065435924567022
722,0.4863230823501993,0.4537604665041722
723,0.46985335036818865,0.5157286997338628
724,0.7196315164983171,0.44398972514505114
725,0.7196315164983171,0.41569632949786356
726,0.5395990380494019,0.4126658003875215
727,0.8027415026297048,0.22376509159413116
728,0.8027415026297048,0.1287165927723945
729,0.9820628343207402,-0.06518341353343567
730,0.6699289014921657,0.02163166211480314
