,LGER/MXBR inst_corr,LGER/MXBR hist_corr,LEGATRUU/NAGLAS inst_corr,LEGATRUU/NAGLAS hist_corr
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,0.1547933559455992,,-0.31825921392414336,
36,0.7824852841199604,,-0.6707962155643797,
37,0.3582945144543578,,-0.3415096416348377,
38,-0.1258637615628459,,-0.5891385488064421,
39,-0.27113505910786595,,-0.7139026946918365,
40,0.0686961496316,,-0.4602043717987989,
41,0.050439737125898707,,-0.3852542094512819,
42,0.58632101684918,,-0.39668727585025293,
43,0.509364969217543,,0.6451366312792223,
44,0.509364969217543,,-0.7370140638513604,
45,0.3361225156913085,,-0.44867450220224064,
46,0.9333062005599644,,0.32943329615687883,
47,0.47169130469534465,,-0.9381398857366975,
48,-0.48699795563552595,,-0.26547553943872965,
49,0.4940864333563342,,-0.26547553943872965,
50,0.8063806170462816,,-0.744143863008771,
51,0.6412177821814365,,-0.744143863008771,
52,0.8330395307646085,,-0.27787603978308534,
53,0.3022797865629634,,0.3596481865253438,
54,-0.10869026970372764,,0.14366644945571916,
55,0.43380838250726167,,-0.8535780777278084,
56,-0.41336583012437317,0.13822986484941382,-0.291429155158013,-0.26007390222667187
57,0.03533698224738597,0.17808460482821117,-0.5412975890121103,-0.27361876595247864
58,0.8052099496566214,0.19805817393826572,0.05309814641454596,-0.2534476173068726
59,0.2273481815365617,0.17956161496707077,0.05309814641454596,-0.30711541409511517
60,0.6706771327673293,0.19681054202022802,-0.18614503857577355,-0.3792260023653019
61,0.0610932136084603,0.24239178376290574,-0.9780581770775508,-0.35406289609459696
62,0.5426913335774258,0.3094547589504962,-0.9369410272587515,-0.4189359049722999
63,-0.4979434372081336,0.24212408288086804,-0.38628302464546044,-0.4165039853965997
64,0.2356833786859641,0.24330384022303642,0.44787516336830496,-0.37385238780818236
65,-0.036327102527585406,0.21971802135858637,0.42307771308210995,-0.3702871360939412
66,-0.2642937561541255,0.15092706880853393,0.2221343291259736,-0.2758543438720669
67,-0.4647839661068318,0.11193510810309938,0.013349032319655629,-0.21122355137206697
68,0.16250414765013493,0.014036929594041483,-0.17696326299616105,-0.24973586954928917
69,0.3401127750167383,-0.08101596951433866,-0.03831837794719005,-0.08232642375289122
70,0.31501772506085957,-0.0290565896255743,0.11651345592995077,-0.07940668018615027
71,-0.5928851311750932,-0.11983520973344917,0.6789437972940798,0.04323913698506128
72,-0.8483707663088749,-0.3514412722962494,0.49032583470736324,0.12630145230900952
