,FNERTR/SPXT inst_corr,FNERTR/SPXT hist_corr,SPAEREDT/GBIEMDCW inst_corr,SPAEREDT/GBIEMDCW hist_corr
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,-0.04845557242580892,,-1.1568009336443477,
119,0.17483864432057725,,-0.023669110856622835,
120,-0.2601911959693124,,-0.06751716541609035,
121,-0.3090196064815045,,0.6221518158193915,
122,-0.3135512207292355,,0.9695748009283794,
123,-0.16105526616996838,,0.7134003043059404,
124,0.1924287076244377,,0.590287095893476,
125,0.09494172800754573,,0.22223439610937962,
126,0.035804587008972995,,0.009896597119121378,
127,0.1332469741316651,,0.16351465418755162,
128,0.43269882756997824,,0.913745665857975,
129,0.5958724099757404,,0.913745665857975,
130,0.6698775714519335,,0.7224348531333556,
131,0.4619582405250996,,0.5596635906350554,
132,0.33477359153969616,,0.6895953322367491,
133,0.04451202763539901,,0.6895953322367491,
134,-0.35133769856671937,,0.6895953322367491,
135,-0.18523212957344262,,0.6895953322367491,
136,0.07606474604969979,,0.6895953322367491,
137,-0.04226722148038764,,0.6895953322367491,
138,0.20393056358962025,,0.6706601808772911,
139,0.3696866034588116,0.10526947453281145,0.11515567065055685,0.24024127588449973
140,0.30608270266492155,0.2734607588140195,0.33960984518898946,0.2846523808784111
141,0.2565562605323217,0.2502460268306018,0.947323488662491,0.3197961721404344
142,0.07633345214560469,0.3232801861785559,0.947323488662491,0.3153292729627288
