,CAC/RU20INTR inst_corr,CAC/RU20INTR hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,0.5859138002558129,
113,0.8440678647860023,
114,0.8440678647860023,
115,0.8440678647860023,
116,0.8440678647860023,
117,0.8440678647860023,
118,0.5971084869240219,
119,0.005455735723822084,
120,-0.05026461433882088,
121,0.37965414545846304,
122,0.9478867734587565,
123,0.8619949565483244,
124,0.9074456589647426,
125,0.9074456589647426,
126,0.9074456589647426,
127,0.9074456589647426,
128,0.8781026639948871,
129,0.8022422224430215,
130,0.7325023480573025,
131,0.9852861296938826,
132,0.9051712630265447,
133,0.8016361580492959,0.40057610721050957
134,0.8016361580492959,0.29663574206195087
135,0.8016361580492959,0.23263667154489795
136,0.8016361580492959,0.20847084160174337
137,0.8016361580492959,0.24664126952922746
138,0.8016361580492959,0.28097037093054766
139,0.8016361580492959,0.2924047539616581
140,0.8016361580492959,0.30743944037434817
141,0.8016361580492959,0.4142192843267515
142,0.8016361580492959,0.4105677700701951
143,0.9884182424244596,0.46589639651539716
144,0.5202654554910648,0.3633635194018532
145,0.5202654554910648,0.14361117654254607
146,0.5202654554910648,0.07243645243176537
147,0.5181230099258958,0.00977300234553132
148,0.22995924165311973,0.005517993284888836
149,0.6762819245771732,-0.10703209670554863
150,0.6762819245771732,-0.029315525326814397
151,0.8461731010892221,0.14611679768345284
152,0.8461731010892221,0.17352242842328447
153,0.8461731010892221,0.1898764398209517
154,0.7066038213966703,0.39447527741025157
155,0.5602723447293146,0.46230424740173737
156,0.8306708538798763,0.5831507230609497
157,0.9548710544851291,0.6430534661698956
158,0.7669249885367956,0.696415817506337
159,0.7669249885367956,0.7095421195675117
160,0.7669249885367956,0.7369421010820197
161,0.6130485770606896,0.6987291862844713
162,0.6296616436126834,0.7192742947800533
163,0.5047742849687912,0.7427697838143102
164,0.5751570989159155,0.713821867006524
165,0.8750227282898451,0.7151163799151113
166,0.3314396538847741,0.7017159672326296
167,0.597173999308499,0.6934858377725845
