,FTMIGMI/LG30TRUU inst_corr,FTMIGMI/LG30TRUU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,1.1928893126225446,
107,1.1928893126225446,
108,0.5882717460564815,
109,0.5882717460564815,
110,0.5882717460564815,
111,0.9957996898689766,
112,0.6990093136199047,
113,0.5684785343916153,
114,0.5070973181121015,
115,0.6830543880905906,
116,0.4030199907003939,
117,0.7047632336679505,
118,0.7047632336679505,
119,0.7047632336679505,
120,0.7047632336679505,
121,0.7047632336679505,
122,0.7047632336679505,
123,0.7047632336679505,
124,0.7047632336679505,
125,0.7047632336679505,
126,0.9955492820430453,
127,0.9955492820430453,0.14499396612169618
128,0.7090192334876966,0.2756474850087364
129,0.620094991944425,0.34932035591734734
130,0.8621169686514383,0.32235651211421923
131,0.8309630704625116,0.3031113333960647
132,0.8986371915591701,0.27789150682798314
133,0.879122484374442,0.13665697302936178
134,0.879122484374442,0.1930858554407633
135,0.879122484374442,0.27735853492141466
136,0.879122484374442,0.30466944938407403
137,0.879122484374442,0.3131888363567351
138,0.879122484374442,0.4276557112161133
139,0.879122484374442,0.416801100324231
140,0.879122484374442,0.40431142863062414
141,0.879122484374442,0.3792654063683654
142,0.9604321404362964,0.3741973088440107
143,0.7516026048387323,0.34970093232478566
144,0.7516026048387323,0.3350745325676937
145,0.9125637391616254,0.31284144663749847
146,0.9125637391616254,0.328210384965805
147,0.9125637391616254,0.40636843396671674
148,0.7607970139499477,0.6746391475162465
149,0.29396488015625827,0.5664607039169
150,0.7310893296557968,0.5670679651585547
151,0.6076662092857318,0.6223246645390735
152,0.3465974172466523,0.7362649424049814
153,0.2671874035179602,0.5770886507400041
154,0.37645143764448596,0.5808938637698603
155,0.3986060984105974,0.5931575489691226
156,0.5252609798950915,0.5035509033803588
157,0.9139434697698058,0.5286653150723838
158,0.7095106833989744,0.5053168204295934
159,0.6206116604034764,0.542590769495143
160,0.5294791902344587,0.5637931690954213
161,0.6491923857057208,0.5465169677146007
162,0.6491923857057208,0.5479531598649107
