,LEGATRUU/FTMIGMI inst_corr,LEGATRUU/FTMIGMI hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,-0.2281516949625393,
107,-0.2582159491072146,
108,-0.23513957500859264,
109,-0.12776199818217976,
110,-0.1329762307917542,
111,-0.13606925057952507,
112,-3.5343249430975844e-05,
113,0.42426637976416276,
114,0.9613459609071588,
115,0.9613459609071588,
116,0.7508663429149098,
117,0.2339606844035106,
118,0.33290272178926145,
119,0.6621729622431729,
120,0.725364369413762,
121,0.6420918283945718,
122,0.9215864393205556,
123,0.35386046033087587,
124,0.4549690915328552,
125,0.672351094009519,
126,0.3423963553378496,
127,0.09458742880067955,
128,-0.13102678146980076,0.19429875469536156
129,0.27551841156028034,0.1995347514213609
130,0.33066549186296285,0.22486227744253803
131,0.02340154096495677,0.19981157506161762
132,-0.013610020953436299,0.26989649195587034
133,-0.2556018072155554,0.29793823213286375
134,-0.3816762762953577,0.2520824650839387
135,0.2503783993061874,0.20674840379968
136,0.4984132943441809,0.1491589366962683
137,0.5177809941075904,0.08519804609214629
138,0.5555446630872429,0.08661833926900003
139,0.29654980546109416,0.0637218148287293
140,0.09713729835035713,0.03780642808142042
141,0.034541531831914454,-0.013438243370082701
142,0.1909689867994408,-0.032618676379058305
143,0.4012102826612905,0.033856635980921757
144,0.5974675367474506,0.0471082591615218
145,0.7363265882178683,0.008688455251977329
146,0.6227827557420138,-0.04595820466268173
147,0.18504915770441016,0.12168162101906421
148,-0.1523240683143164,0.07231761579225715
149,0.493845118531979,0.07564935587681222
150,0.49181175675041067,0.16710922877235637
151,0.39077580560706626,0.37104743516168914
152,0.06485276839297784,0.3015783936713109
153,-0.09607832003420459,0.2829338133032089
154,0.05328964196725163,0.29287496518429945
155,0.45537650896758447,0.32280724231248403
156,0.7921695002903673,0.32347691374794707
157,0.7026407697374886,0.3213948100233324
158,0.45397199134806077,0.3257991254062852
159,0.3414271617692103,0.3321010027703579
160,0.9186940441172067,0.3910131881309569
161,0.9186940441172067,0.3919038252160106
