,SPX/SHCOMP inst_corr,SPX/SHCOMP hist_corr,SPX/TWSE inst_corr,SPX/TWSE hist_corr,SPX/HSI inst_corr,SPX/HSI hist_corr
215,-0.30338292598853756,0.1730601104989109,0.568608809001147,-0.047018637967902406,-0.4656997810839059,0.1738466914579772
216,-0.48251417235496297,0.1225698217855415,0.853292414374717,0.021373059454721587,0.06919502691066862,0.14469565106562443
217,-0.6600284161398001,0.12193581795854416,0.9514014145995443,0.023092089438809704,0.5069243704511194,0.15972594188317077
218,0.15364995631170872,0.10253925743106056,0.06378947636497137,0.0007876269802216551,-0.00532793895970291,0.17058120631506835
219,0.6099484641659644,0.12912572840134606,-0.09772583914720993,0.02335006925785469,-0.5718445213884535,0.11037883444121314
220,-0.054141248531855174,0.15635118021303096,-0.12895908252185168,-0.19043707072489352,-0.44321142335173763,0.1010886162999701
221,-0.6623884625834193,0.06235523982589282,0.334923862645912,-0.24456283689899005,-0.27436000046451064,0.007876767663229263
222,-0.6429942422607464,0.06114289578743917,0.334923862645912,-0.10003749874862997,-0.2531480180428059,-0.17927249975437382
223,-0.491406033402701,0.008708800764845627,0.9349336614262163,-0.09687207305682552,-0.3680164423196882,-0.3354712960339981
224,-0.17081175893687625,-0.25591644601186053,0.6374108954861223,-0.07858763401965496,-0.2820714755068441,-0.3011345297691952
225,0.42459361364394993,-0.22948438838180688,0.5979176970761224,-0.01455710805453206,-0.017440403661735215,-0.34839730981407596
226,0.26578235420340524,-0.16834455763729578,0.6416154826856294,0.04336337503605753,-0.16402096554469056,-0.42654099168955806
227,0.042773324418246494,-0.20497183473235114,0.6522572615609539,0.0888270513289515,-0.00875201203582918,-0.4220253583844158
228,0.2334476516759451,-0.2641786944982698,0.7774269311914263,0.0528513840813432,0.28890861599147566,-0.34739274143153875
229,0.13640370549675881,-0.2932903570613154,0.7774269311914263,0.07476716628751189,0.3969508204512566,-0.273220415984989
230,0.1744645315386667,-0.2565241379042576,0.7774269311914263,0.12578808522585044,0.565622494128267,-0.248527781022601
231,0.8235171197036224,-0.22799717023816687,0.7774269311914263,0.1356633861199153,0.6483701975771143,-0.4317611219480947
232,0.8235171197036224,-0.22800901806032658,0.7774269311914263,0.14877513259422323,0.6483701975771143,-0.41134276073731274
233,0.6064746140442332,-0.42969956910072815,0.7774269311914263,0.28628200095801803,0.885086568148348,-0.31891265357872506
234,-0.1979080107290272,-0.4317433842564308,0.7774269311914263,0.33611866438972765,0.7152127620303913,-0.3257957615848463
235,-0.18878216123136837,-0.4151017564002422,0.7774269311914263,0.4248678042826556,0.9679254053514946,-0.2647684152044635
236,0.303551096593294,-0.4309711342182537,0.849420662295273,0.31501211885792024,0.6010844355351563,-0.2195949722137911
237,0.03836682724067552,-0.3993959238067087,0.8651646023766117,0.3006544343733207,0.618703903759458,-0.19469081302690325
238,0.5953789078215819,-0.28738308419137343,0.9861731116598697,0.13590838116585083,0.46284163789217664,-0.12913337619955695
239,0.5337156802233461,-0.2862370223850351,-0.2881897298163951,0.11983831820231576,0.3963351271504724,-0.20884010951971457
240,-0.04431651335633614,-0.2727460539062888,-0.5067075344433009,0.007642515646692666,0.5931756964687296,-0.19684426267923322
241,0.39055356733337754,-0.41699013495114895,0.03259500308624615,-0.022914214435411057,0.01965959727600353,-0.04083083082805839
242,0.6227224147650441,-0.39839312229913265,0.6578813999074035,0.11815532852893013,-0.410349845595965,-0.14138401805770126
243,-0.14264413310501103,-0.1076444499226842,0.6749058927569052,0.1145332780017074,-0.41720157148877735,-0.14559409606748203
244,-0.5197397058684887,-0.2895740488765938,0.9887166528777263,0.07221302812062018,0.08621281444390715,-0.14009755453287834
245,-0.5891795424267241,-0.2943610532175103,0.9887166528777263,0.13604148037888386,0.4441792450642381,0.001258794779865565
246,-0.3397956574222772,-0.32336691595705647,0.9887166528777263,0.1237946138224914,0.608445471516615,-0.015358284294607602
247,0.2543185139055713,-0.346566645352895,0.9321857273555723,0.1147277690780427,0.8157279258029576,-0.042365965873783114
248,0.3658925693773474,-0.335778034697899,0.9321857273555723,0.12760301183409606,0.4788740344164931,0.06696329192963386
249,0.6645710148067876,-0.3221617023753289,0.9321857273555723,0.09861521444842762,0.08137043676763031,0.04079961725018087
250,0.6195326403754314,-0.3572494191045699,0.58581584819785,0.08614382143362703,0.5192495832960157,0.06082049774006736
251,0.1051506017662616,-0.34982620020461824,0.15372178325821387,0.05167746007369313,0.5192495832960157,0.04118672784668577
252,0.2645396842486319,-0.3667163089081273,0.7444142135611282,-0.029522559727517224,0.8739437203494025,0.03805740560259482
253,0.2645396842486319,-0.41589224533546104,0.7444142135611282,0.0900585244320291,0.6211609689567515,0.019802962104405138
254,0.8901714598641394,-0.36714784611741896,0.8548946548957677,0.08343462389697773,0.7589893612686155,0.025220805272495928
255,0.8901714598641394,-0.36926682562774565,0.8548946548957677,0.07321820863631863,0.7746075255279357,0.10062455160262933
256,0.8054666944466293,-0.32513582671451646,0.7333126092344184,-0.01699925337476461,0.7072434216906929,0.10385195187129403
257,0.7144617901316124,-0.07360020173593582,0.8377354832036469,0.10681462977659628,0.90536964724312,0.15102723874680654
258,0.5561785120460223,-0.07012748924329852,0.8156927337978226,0.11295501836615394,0.6460610565237028,0.16991603904296645
259,0.7907279570060478,0.011182913306653065,0.8156927337978226,0.14084388292877809,0.7463801939305812,0.20377028227874597
260,0.5700711591097094,-0.03228325667947106,0.5830475131841105,0.12210688344759768,0.6105578092573583,0.21646222133915474
261,0.6373731465986668,0.02872658701383481,0.3773181182785245,0.1560269832417907,0.9907125785274501,0.28770335480965364
262,0.4913856856795788,0.048331909074319404,0.36848886692663035,0.3196925801619553,0.9805333407214826,0.30925354775298486
263,0.6150000929321771,0.07675368818328253,0.5024775564620324,0.38973740895944997,0.42735455313774456,0.3161863396669325
264,0.36254366261611,0.06114421419332848,0.1819540851359013,0.2388946776556377,0.14101287084768874,0.46677718504431703
265,-0.01656809306649028,0.05540568766098999,0.5170399394761623,0.18934898725979724,0.10828820257341787,0.4976598286229361
266,-0.24139207545125566,0.1893453218090832,0.7686549841144816,0.27083314618241927,0.41414710846247343,0.5243010479354014
267,-0.2219355364887711,0.2795913457701401,0.7686549841144816,0.21559382504873828,0.6887895737349582,0.5564627511556792
268,-0.12116528573562704,0.2101242643243668,0.7686549841144816,0.2551029209765293,0.8953941442442624,0.5632849085566264
269,0.3379227274577179,0.22799125413410912,0.8653796574175445,0.3259314286451381,0.9487103782801946,0.5612668410302604
270,0.5595743714257092,0.334890368204455,0.7789350928551533,0.3149866238885406,0.8379757383370053,0.609377392777258
271,0.7842331962527068,0.33874657096982147,0.7789350928551533,0.31658154653098064,0.8379757383370053,0.6586778534651924
272,0.8984535829593843,0.3747192879238876,0.7789350928551533,0.3286438921246034,0.5050886498224735,0.6545526656843804
273,0.811121647142211,0.4610762514442838,0.7789350928551533,0.37883790746344276,-0.05580974814657891,0.6176036337816413
274,0.8775060378687441,0.46198621091382835,0.7789350928551533,0.39281325038844495,0.16315977156144468,0.6084751960078005
275,0.7652141395364579,0.4614699899131425,0.9893902018829671,0.3031979452597855,0.8557991257418007,0.6130628128257167
276,0.23376222493785637,0.4487563100308322,0.9893902018829671,0.3027687583046833,0.9014517916563328,0.5876328521408961
277,0.16871951052617876,0.4472539658812627,0.9893902018829671,0.3346865293324666,0.9014517916563328,0.5587343194659089
278,0.34911980090093453,0.4433858752439045,0.4755225602230431,0.30147436064025634,0.647665720852937,0.5741509403443086
279,0.3109678929795549,0.3420582566613319,0.4357128680116139,0.1283439561448571,0.9180133232026941,0.5677750709474835
280,0.4885478840620189,0.3423829720411712,0.43191576134235915,0.07573113776648603,0.9180133232026941,0.5726046410439124
281,0.43957349355469105,0.3272505787403486,0.8246505820114501,0.05948215211376008,0.7412429120438323,0.4876567606514375
282,0.6407072391050823,0.3099971083291561,0.8246505820114501,0.09859321861386536,0.21591093031481257,0.48431215625956153
283,0.6407072391050823,0.28051368354631084,0.24028452621833923,0.12357597988353358,0.14173693978056667,0.35755224285563303
284,0.5521950561488884,0.2847430145647548,-0.032361051111613706,0.04966265776731628,0.048111270306392805,0.35826839248483155
285,0.3788872968056344,0.23396485497625133,0.6300935132822297,0.013920954706662587,-0.17752996464002052,0.288387109856862
286,0.35729384115189394,0.27360785341082033,0.6300935132822297,0.12675027378857504,0.052235600458631515,0.25524537768513034
287,0.17929204779849384,0.3201920687444514,0.6300935132822297,0.14182338433980177,0.42503205649830295,0.3698749182856938
288,-0.16648858605196099,0.30869996369079306,0.6300935132822297,0.023274423807742976,0.6801591905254608,0.3437060511249536
289,-0.1856024426408622,0.31890244683520286,0.6300935132822297,0.037738394375882826,0.6801591905254608,0.25508006929988664
290,-0.19399805604767398,0.4180362819792047,0.6165359015221927,-0.008167208054221565,0.6801591905254608,0.2220581172551967
291,0.35502164481036436,0.3949694925958477,0.7269696561392566,0.08337335392747892,0.6836086115744102,0.18476374525312989
292,0.4894963121833058,0.3140225142321413,0.9674421342861584,0.1316830061750948,0.4515744232915118,0.20683927725850218
293,0.06309763554030336,0.25413348400398794,0.9980800209723946,0.21135329467533148,0.3789607365666191,0.15840410580627023
294,0.2464387172239289,0.14824742616286418,0.7580390543152045,0.19217347446857197,0.5750113188569567,0.25814066364093585
295,0.27402226180513833,0.02448357233832244,0.7580390543152045,0.18550534904155436,0.39159213305755164,0.2431045769464806
296,0.4675765009851338,0.019483620379825053,0.7580390543152045,0.19138709710488175,0.2923268883405781,0.25668695317289403
297,0.620502401324639,0.13338207850123754,0.7580390543152045,0.22787174325595602,0.6612019276356926,0.26037239858767275
298,0.29943195221157953,0.11048799288004454,0.7580390543152045,0.22266552218910735,0.9042902082936497,0.2842549851493057
299,-0.057299687642150474,0.08723249185365906,0.7631101698867023,0.1797806752851146,0.9042902082936497,0.27096435743702
300,0.3150147141377493,0.09032598138085474,0.4112462266826142,0.17745794071755575,0.8334053425719289,0.2364582136471853
301,0.7457777831258412,0.13558831283961897,0.7464215324907502,0.26706693914106056,0.40290846334011476,0.14050985450497613
302,0.8639767874425061,0.13455835143683767,0.8978422307296567,0.33504323182743956,0.6563879866059605,0.25370788567911107
303,0.7701203847813949,0.07074749852917242,0.8978422307296567,0.35749251771053464,0.9930001110010417,0.27819333967149634
304,0.5452835228021827,0.07965194790828449,0.8978422307296567,0.34466493618807464,0.9930001110010417,0.2883783625817127
305,0.7491227673217177,0.16642035063032654,0.8978422307296567,0.36290432476413204,0.9930001110010417,0.3407801093081287
306,0.7491227673217177,0.16811274739403276,0.8978422307296567,0.49379889797609167,0.850106581060431,0.3336029863828009
307,0.9607706476882983,0.16983343506978774,0.8978422307296567,0.4782150393408705,0.8467735463180274,0.4524449159238727
308,0.7998017632016409,0.19700415803242813,0.8978422307296567,0.4972557084167672,0.6537877837778153,0.4866824639687983
309,0.48705511813563007,0.17540483712148114,0.8978422307296567,0.5245414761527291,0.5686733439982817,0.495755123202727
310,0.5992727767777477,0.21934592095848887,0.7619984208010098,0.5030988369615402,0.7251929732985052,0.4783616653265082
311,0.6480322805345934,0.2954850875228857,0.7619984208010098,0.5071397370660307,0.2556642707492877,0.45550977790891234
312,0.5569602301472377,0.34567006879823803,0.7619984208010098,0.5153549525631037,0.16970856379156787,0.4726124489061393
313,0.32617707222829206,0.31590236740378264,0.6508242554091509,0.4603333241284227,0.5376783862906196,0.4707449129428733
314,0.17687002718732395,0.2924142756165046,0.6896430206784527,0.3592418352024596,0.6921244315258498,0.47288291949664035
315,0.42256386593055073,0.3564000495562892,0.8165609438004022,0.2719836043935073,0.8510124024001192,0.5008072054579196
316,0.7192114289773339,0.4083315459415171,0.3050567434958004,0.268832993903151,0.9690885556952876,0.4823471242112284
317,0.8123151161650708,0.4501468437701846,0.44220449408291396,0.2648773849465441,0.7141679789145334,0.5943280670574739
318,0.8642596079936258,0.46784965675713897,0.20192224179163384,0.20744853647923786,0.4272265818159827,0.5816927011224615
319,0.813232005151471,0.39015032154628276,0.553505839797289,0.15316527220608114,0.28519442132993456,0.5555507938221405
320,0.7605332091309159,0.5316006083307816,0.553505839797289,0.14854133967639435,0.6484548456248791,0.5007519201293754
321,0.4004372236191445,0.5930496382018284,0.553505839797289,0.17502709940149921,0.7609569463346856,0.5470004063648741
322,-0.014874272129232006,0.5360480480887816,0.553505839797289,0.25293686772804447,-0.016798726652875188,0.4532067618522373
323,0.299898643763927,0.4341126472522042,0.553505839797289,0.17582539602663186,0.3515121422624036,0.48524354040634915
324,0.8389043006247419,0.44724796248849147,0.553505839797289,0.20203550612232682,0.4449518867062052,0.39657396597376954
325,0.21431862086907172,0.4078753573679569,0.553505839797289,0.11438702358297778,-0.03699607091162348,0.29794361891670207
326,0.5754158435875463,0.40149821754561543,0.8871450553168015,0.11734555281583607,0.35013595354328997,0.2904089570304562
327,0.8542294691381906,0.2940609065524189,0.9109639891765726,0.27025978905191034,0.6248943430682677,0.3486767490926252
328,0.71106296403191,0.5165270445348331,0.3287712551728829,0.3613081468808927,0.2759980779747177,0.33563325965782864
329,0.14860187522726317,0.5507231063713434,0.8091909581924139,0.3641152596619693,0.07422819895005034,0.3409795640022167
330,0.06461133266403732,0.23576044100657836,0.6756284155051617,0.34148052294727593,-0.07679944766359394,0.3106781252567929
331,0.43940243406397916,0.45460880662119996,0.7760150755898214,0.8682860453067919,0.09169575445979478,0.10621846520079477
332,0.8608727894521009,0.47330819978432936,0.8835892840570008,0.8907234074893896,0.559253083884191,0.31634816518630193
333,0.35943589009125954,0.4843619441221041,0.7852551826291585,0.888611050425504,0.9695877036320912,0.4204250023953676
334,-0.10487627341729464,0.39448540029798207,0.5278372449967158,0.871563360779024,0.5309922817316418,0.44321330290733835
335,0.0529431550810343,0.3971658500924286,0.569762827852008,0.8723677803959345,0.22188342575291956,0.4100383973659163
336,0.5915756900006613,0.4557294753535512,0.3168803737121827,0.8650947843032571,0.00976910759271298,0.36981024966426823
337,0.2386346806732189,0.44247275323798324,0.5116626324595374,0.8665461661803283,0.07439533504291117,0.3695700807967673
338,-0.038437473305402356,0.3835843450527518,0.38979833737502917,0.866419980181205,0.11253805187179577,0.32140580816923225
339,0.03896094651941168,0.37562645023612506,0.15300344416726275,0.8604610505315229,0.1172458253816022,0.3074389944927368
340,-0.08554961995152038,0.3069984423367297,-0.1348017247290347,0.7760264926176824,0.08324169527361211,0.2619825444521553
341,0.04778783401388062,0.29002281130389834,-0.3944677905962824,0.6459972101533071,0.00776854430887244,0.19889185506781157
342,0.10795114854499263,0.26478131068642635,-0.008208890325897151,0.6301780323091444,0.40575752266022674,0.2045848446683706
343,0.6554311180755878,0.2582153229168288,-0.008208890325897151,0.6223628713153074,0.8045881090291024,0.2036277296051783
344,0.9622611136415424,0.28453337449868393,0.6881958000863857,0.6192624808936881,0.31125642320828406,0.18335503705280043
345,0.5365617119227386,0.3082332722326245,0.4775785878921834,0.6312952357760588,0.4412691124789883,0.23535369510412804
346,-0.028341425744007238,0.31041943376754194,0.4072615705989841,0.6339595130108756,0.12798821450591943,0.2775604033707713
347,-0.4317251680089165,0.28453059799037694,0.19435867119142222,0.6281090261346152,-0.37804308859720237,0.24335902082592303
348,-0.4308853570867158,0.28359237123942954,0.07616371513261588,0.6285689030016682,-0.4558733732896108,0.20473762711434235
349,-0.15570122483151322,0.2788450902691946,0.45084653269546326,0.6183742172616716,0.12265930288090884,0.20430690738446666
350,-0.19554574304567582,0.22361915046619624,0.6690868194891327,0.629291680380998,0.2776073653585903,0.2003893168209979
351,0.1999203806039371,0.22397963383756236,0.6690868194891327,0.6272048297667038,0.5784373676887101,0.20413200591942038
352,-0.01510035215648525,0.2846819625918774,0.5672406006453021,0.6315908511434911,0.3305825615598962,0.22514782928074847
353,-0.36433247966845517,0.0711595121737489,0.20195125063460193,0.25483369575984943,0.08438534838595503,0.24423158189204253
354,-0.09062682477873965,0.046520079781599284,0.45610002026954677,0.17788319771118136,0.4830986392082994,0.13289476984384835
355,0.67289601422272,0.04347285754946835,0.9294525038080882,0.15533680008191825,0.8427586747280302,0.08395531480062295
356,0.7551194955326415,0.1252359574626926,0.9294525038080882,0.11408776979893913,0.7942109525794374,0.10661810002607472
357,0.4046100670147599,0.12583532557329324,0.3773876348876479,0.1108927626616127,0.3277403924002003,0.11735478168243957
358,0.04432095172953578,0.011216327776485246,0.1494309173405229,0.08001654370814726,0.10195205619229009,0.09114834427009219
359,0.37934639684741506,0.09590197382312315,0.6773300936393785,0.12112602929522763,0.5544184468169634,0.15685350158871586
360,0.42594895613765127,0.1430322465177525,0.6773300936393785,0.12812658501500998,0.5544184468169634,0.18014662597662853
