,SPX/SHCOMP inst_corr,SPX/SHCOMP hist_corr,SPX/TWSE inst_corr,SPX/TWSE hist_corr,SPX/HSI inst_corr,SPX/HSI hist_corr
138,0.3485006644168435,,0.08231422400204388,,0.3161611446890166,
139,0.25104097664914055,,0.08231422400204388,,0.3161611446890166,
140,-0.11515216571343391,,0.08231422400204388,,0.3161611446890166,
141,-0.14781000788912307,,0.08231422400204388,,0.3161611446890166,
142,-0.1281815872877444,,0.08231422400204388,,0.3161611446890166,
143,0.8054331536454197,,0.08231422400204388,,0.927193099629761,
144,0.8054331536454197,,0.08231422400204388,,0.7750712925694655,
145,0.8054331536454197,,0.08231422400204388,,0.6434242099842009,
146,0.9153596857884413,,0.08231422400204388,,0.49250433586672593,
147,0.7931345226602505,,0.5068079358886688,,0.8469529049337428,0.2652759922266144
148,0.7569312595269442,,0.7625247800180958,,0.7653407619371916,0.23404339459960802
149,0.773276621329415,,0.890749331126143,0.12533577571438498,0.7653407619371916,0.2351006562062454
150,0.7553674789130964,,0.890749331126143,0.15858644755368084,0.7653407619371916,0.15238565217481065
151,0.6759231660147635,0.1183049743620623,0.890749331126143,0.18941658897338415,0.7653407619371916,0.10599336128352649
152,0.8370590942190145,0.1347042488672664,0.890749331126143,0.10726787260045807,0.6353123997759608,0.07955384943369848
153,0.7682684898737179,0.12226814421584097,0.890749331126143,0.043657906216057724,0.34514713732212915,0.07655290817753857
154,0.7682684898737179,0.09369723753087773,0.890749331126143,0.12410864276277445,-0.010638718712129703,-0.045648306281838316
155,0.7682684898737179,0.07729590345113425,0.750316518477966,0.058325580714732275,0.21934793621281284,-0.08004549552632159
156,0.7682684898737179,0.09269043681618361,0.537607736304785,0.09513995380330076,0.747055309922717,-0.03493209619978997
157,0.8835574508925235,0.057795198686229926,0.24781954391273292,0.0014855378041516419,0.7595098889807641,-0.11484606800361159
158,0.9814675630387328,0.03436334071073246,0.42156686884271316,-0.005126366403888598,0.49083824624654393,0.07941626726936458
159,0.704821491403696,0.019023859046628497,0.6948820773302167,0.018121127050742765,0.7553790722098657,0.055180533824891256
160,0.3984849894213558,0.05002506318861318,0.8788864420442514,0.13895934131765939,0.7553790722098657,0.10382078084495751
161,0.25244821282750984,-0.08284166447209264,0.8788864420442514,0.19313473154985975,0.6518652665783521,0.10942702938875634
162,0.6164163630848212,0.09262076928357652,0.8788864420442514,0.12231583086991063,0.6518652665783521,0.23476305063760033
163,0.5815555270937736,0.12185023176903484,0.8788864420442514,0.18939774582940963,0.6518652665783521,0.3582616097741101
164,0.7914005966499326,0.18913897020047735,0.6339713065111205,0.19165342581355388,0.704527707642495,0.4961036861281051
165,0.7914005966499326,0.14136286005398804,0.3780055335756218,0.11294757903275199,0.6762251635802017,0.4898530813226213
166,0.7914005966499326,0.1664884669560016,0.6389308864550042,-0.059914496684892134,0.6498173617318098,0.5018236165714802
167,0.7914005966499326,0.11029603367603036,0.7564249417103543,0.26372546438142014,0.6058890636760037,0.41829926369509995
168,0.7914005966499326,0.31186147347462007,0.6477550247299341,0.2713302878957292,-0.13066226340333523,0.5454035079353463
169,0.6402126169163893,0.4950588446329449,0.8108496502573644,0.3260701524575931,-0.41125606199348674,0.017690375232766117
170,0.510640353098054,0.5055276904177163,0.7449141213413503,0.33979185899391506,-0.27413383731466845,0.021170505488529612
171,0.061814978496419,0.5367589243495011,0.024028511981234728,0.5952086839701579,-0.3415021109310884,-0.026334932821462546
172,-0.22524807940043517,0.28352953049570356,-0.3486754418795075,0.019069286458538278,-0.211231102327291,-0.13344257804280762
173,-0.5873172542809352,-0.015847536170845725,-0.2391985288727222,-0.011500467833381305,0.19359062276494554,-0.128732922217723
174,-0.5808760123343187,-0.2756434842859058,0.06990702987825477,-0.007968736603505947,0.46381786614858356,-0.12059377368022121
175,0.018323217873446023,-0.23558999178233678,0.17813905688369783,-0.062483224413161655,0.5483958245894317,-0.06447234934962368
176,0.07351911977620922,-0.05445421781051765,0.6362248581100698,-0.035385761897525216,0.6289865779925717,-0.006493838625281938
177,-0.0257742309781366,-0.20372492653816415,0.5888075553424319,0.07670480910823672,0.602328042101201,-0.008673437514550427
178,0.3385627350617261,-0.15567098471050858,0.6240546333037875,0.06339284145834968,-0.2578111628736021,-0.02185533052691138
179,0.5195288815180793,-0.1496554355423046,0.6682503634363217,0.11040773950284065,0.08879737858821522,-0.03376882942925203
180,0.27074700434179816,-0.12917766702990197,0.8187691155849104,0.11605652785482083,0.5430883968673125,-0.008788428015723819
181,0.11640951926330635,-0.10222051355789508,0.8187691155849104,0.11899549204781422,0.9839949292904719,0.0008938462288820806
182,0.3088787642248805,-0.08054040270881296,0.27041165466873146,0.11187623363614743,0.930724349720839,0.010482497964042948
183,0.9686323956106208,-0.041809440499028905,0.12591280014285383,0.08640898256305675,0.38851982462545137,0.030397925090335162
184,0.9482166605556015,-0.02581451073898211,0.12159429229537647,0.07506200598490465,-0.2445594668758003,-0.029929620688417088
185,0.3931251301376491,-0.02525726391769284,0.2661853231171064,0.08773772808481158,-0.4416920764637064,-0.046849523164157574
186,-0.07871480236656773,-0.057063697638202474,0.2661853231171064,0.08604537656359838,-0.3437770808395997,-0.09707690745804548
187,0.0014878402294119064,-0.06308409693033969,0.6950569480238263,0.09721218782153794,-0.057936334930571175,-0.08162636909517734
188,0.37406331117597674,-0.05046363332274402,0.2883902802716526,0.12038109477362019,0.7274967479532817,-0.0820310718184982
189,0.36818261782063116,-0.05522290179305527,0.19859241237941547,0.09771153721394514,0.47787786978348884,-0.061087808276211214
190,0.8896211393378735,-0.06192751562558934,0.5547587589762826,0.0875332493285054,0.33931510830715295,-0.10107709778171886
191,0.5969893746393418,-0.06485299895828042,0.8895427496731106,0.09110929666274144,0.3860192211746992,0.048247450442155344
192,0.6651148264639207,-0.034589034968854966,0.8895427496731106,0.08445923707858453,0.8769630034245327,0.0352044993311871
193,0.6651148264639207,-0.03560249445109843,0.8895427496731106,-0.05437507904399069,0.859440747464604,0.09608415982875036
194,0.6651148264639207,-0.007602400086870568,0.4085106913047914,0.22091512271458233,0.8339027103036805,0.264508363884848
195,0.6913264624818155,0.09504948434993132,0.44831508376948453,0.250098225281283,0.8528379653332122,0.2968367298800024
196,0.7623165040708162,0.25611927533621137,0.9704833362490776,0.2440250255083194,0.3607655172648085,0.2901879188491659
197,0.02823068508115613,0.23546983823631706,0.29975691185352876,0.390304270992892,0.5192408142468977,0.21598375810960735
198,-0.17653002304796367,0.07055401114880808,0.5943759427643468,0.48482158817242765,0.8340645501861367,0.14280065012056778
199,0.3237126362471401,0.45379819691272505,0.3786451441799266,0.35339195773216275,0.46743271592154845,0.21219568406979192
200,0.960379255061424,0.4373352040573454,-0.38417338391579725,0.23736804068190295,0.630723801041684,0.3724949522035334
201,0.28322471388414244,0.46426314552506887,-0.10309983692835528,0.15494076773635948,0.6633662658637731,0.4174658888420266
202,0.4522201597483105,0.5712489570882783,0.1073857713339899,0.11478264705696195,-0.1008610539223333,0.32724176044401576
203,0.21279104913932628,0.4804889203833144,-0.36781358544806675,0.06666848891599589,0.12467416438674898,0.2802201440231129
204,-0.5153073281653733,0.3473940124514929,-0.21783965991597654,-0.005214792302864837,0.3942429052950302,0.2780202920716609
205,0.2808040322340003,0.2836946833145834,0.29543731662792233,0.022286325538016197,-0.2595041496402549,0.23999403971540537
206,0.595784479056688,0.3211543552570551,0.5265051882765791,0.07456308892008646,-0.5535110552760668,0.18442082636884452
207,0.00696152350879328,0.26446053065074504,0.34376396872764403,0.04864559922964216,-0.3440474027979666,0.1529714861080546
208,-0.25478765207074816,0.25249373947429,0.3798833548890401,0.038195815885339844,0.4297497223514936,0.2653767269453568
209,-0.09081368511680733,0.25851925164726164,0.8138190115579873,0.02032581517080201,0.577567053899867,0.31735415750714635
210,0.38235218800488263,0.2331592660346116,0.03519536774077235,-0.019584469478100178,0.3401499482340991,0.31807460520783154
211,0.6650721711570747,0.3054728786257492,-0.29671172942811763,-0.10226212197563948,-0.016187855021512883,0.29317671747863494
212,0.1868983344408829,0.295100937644986,-0.25737973715659207,-0.07532818620299957,-0.11678589391474815,0.2488527839289717
213,-0.3371004853538644,0.2570579711300266,0.373916029605589,-0.1104480732552164,-0.34159378440142374,0.20027973968694301
214,-0.049576076044880825,0.2246061360617979,0.6590485214736598,-0.040937548672697825,-0.3789940521415139,0.17583216802890617
