,TWSE/SHCOMP inst_corr,TWSE/SHCOMP hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,4.42722599569824,
127,4.42722599569824,
128,4.42722599569824,
129,0.9620071931011859,
130,0.9620071931011859,
131,0.9620071931011859,
132,0.9620071931011859,
133,0.9620071931011859,
134,0.9620071931011859,
135,0.9620071931011859,
136,0.9620071931011859,
137,0.9620071931011859,
138,0.9620071931011859,
139,0.9620071931011859,
140,0.9620071931011859,
141,0.9620071931011859,
142,0.9620071931011859,
143,0.7837861081451313,
144,0.2104468783999782,
145,0.8118565074209295,
146,0.8118565074209295,
147,0.8118565074209295,
148,0.8118565074209295,0.22922434002726572
149,0.8118565074209295,0.266865971952841
150,0.8118565074209295,0.29550106883117694
151,0.8118565074209295,0.2823328299005197
152,0.8118565074209295,0.2594767777205525
153,0.8118565074209295,0.20120624485459437
154,0.8118565074209295,0.16801198098133144
155,0.8118565074209295,0.11267317725708
156,0.8118565074209295,0.011705063469088148
157,0.8118565074209295,-0.049785996360388565
158,0.8118565074209295,-0.006041552528965401
159,0.8118565074209295,-0.13349990447128576
160,0.8118565074209295,-0.08882647933555268
161,0.8118565074209295,-0.009593456186019948
162,0.8118565074209295,0.006077131920313364
163,0.8118565074209295,-0.00959049654130277
164,0.8118565074209295,-0.0018727897839410396
165,0.8118565074209295,-0.04508365506938052
166,0.8111330323542019,0.06053270031621794
167,0.6644106001243139,0.04276996617229463
168,0.6644106001243139,0.29236787627898625
169,0.8404006707766838,0.28529927053147686
170,0.5302051573189018,0.16500784897115886
171,0.1822681468129044,0.10036728073092033
172,0.31080500061541794,-0.05554285786950339
173,0.8243689134145882,0.6491867566403887
174,0.7345580839058358,0.4805789787182426
175,0.2411802174968113,0.46621350390468813
176,0.2411802174968113,0.5027127147919167
177,0.2411802174968113,0.512620592532214
178,0.2411802174968113,0.5962513073682072
