,FTMIGMI/SPX inst_corr,FTMIGMI/SPX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,1.5262315709476193,
115,1.5262315709476193,
116,0.7920925911760517,
117,0.7920925911760517,
118,0.7920925911760517,
119,0.7920925911760517,
120,0.7920925911760517,
121,0.7920925911760517,
122,0.7920925911760517,
123,0.7920925911760517,
124,0.6411963767894471,
125,0.5728173555034849,
126,0.5728173555034849,
127,0.5728173555034849,
128,0.5728173555034849,
129,0.5728173555034849,
130,0.5728173555034849,
131,0.5728173555034849,
132,0.5728173555034849,
133,0.6738112159523386,
134,0.5411835376804197,
135,0.5411835376804197,
136,0.5411835376804197,0.3759719325453862
137,0.5411835376804197,0.3626844130147563
138,0.5411835376804197,0.39637717544136825
139,0.5411835376804197,0.3501630156057371
140,0.5411835376804197,0.3545558055647985
141,0.5411835376804197,0.40582555895283035
142,0.709885664903809,0.3127663848623269
143,0.8043762919800025,0.3458209551964442
144,0.7005484610826108,0.2999869711744931
145,0.7005484610826108,0.28820529159028707
146,0.7005484610826108,0.2722134465228733
147,0.8426459502937776,0.4018161289599645
148,0.9002129781861902,0.3660010731689115
149,0.9002129781861902,0.3265956244843168
150,0.9002129781861902,0.2963880757472411
151,0.811465971093476,0.29885769065909984
152,0.811465971093476,0.33036539375185486
153,0.811465971093476,0.4106713668406258
154,0.811465971093476,0.6142256303804317
155,0.9012446839156727,0.6160628512557216
156,0.4493083834542525,0.6534126276937988
157,0.376209709796919,0.7432636030034578
158,0.27576592517507476,0.7919514845204988
159,-0.22185929084663733,0.40614007274826847
160,-0.028445070659369694,0.3932441916648449
161,0.31328574045211993,0.40932847380984544
162,0.5977160322502786,0.29444279821426406
163,0.7682034222502627,0.33238553282685407
164,0.5125673500138139,0.33718704464234184
165,0.6464945831208774,0.36859406720302945
166,0.6464945831208774,0.408879197075168
167,0.6464945831208774,0.40180556666874423
168,0.5299258289497383,0.406333761566342
169,0.05504062000020174,0.37556033752880724
