,SPAEREDT/SPX inst_corr,SPAEREDT/SPX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,-0.1072862679755927,
115,-0.1072862679755927,
116,0.7818029647478144,
117,0.7818029647478144,
118,0.7818029647478144,
119,0.8198965455227748,
120,0.6868082603844258,
121,0.7472149832222843,
122,0.6071040108468672,
123,0.46060292196361396,
124,0.7317545180765564,
125,0.5792608179990397,
126,0.6088122548144831,
127,0.6088122548144831,
128,0.949768412200486,
129,0.6482194432822357,
130,0.6482194432822357,
131,0.6482194432822357,
132,0.6482194432822357,
133,0.6308575268216445,
134,-0.015887007861775902,
135,-0.32710664372695586,
136,-0.0935147501393897,0.27930544942745433
137,0.42827142371959137,0.28367838216757446
138,0.8965924613878551,0.3584076970252084
139,0.9686106078533149,0.311316786887123
140,0.4761165402988015,0.3400062662630039
141,0.45436873605160033,0.37015095448623253
142,0.33757689086500287,0.33529577951685097
143,-0.2783509487369388,0.3105228882601518
144,0.051673080827734995,0.2149596761547909
145,0.8171028698861669,0.27806970717679985
146,0.8171028698861669,0.2725649532111771
147,0.44835478783916305,0.21813772963766695
148,0.2620656034493806,0.25833426724695835
149,0.771849729314618,0.12294568054408797
150,0.464802098110379,0.12820086821795015
151,0.22160494245302476,0.08005598828826277
152,0.6362253077950498,0.11305447986281708
153,0.754870520041875,0.22855492752091777
154,0.31147472234695517,0.22274829116532086
155,0.36486959016145826,0.1893226863744151
156,0.2762185169518458,0.23841407334764564
157,0.2832403290139068,0.3908769902902793
158,0.3354020412479079,0.5826367055163545
159,-0.15298745178580106,0.28929867482068006
160,-0.011025995807670613,0.24882028445273394
161,-0.011025995807670613,0.3242199654518733
162,-0.011025995807670613,0.3830284501929654
163,-0.011025995807670613,0.42692209440279866
164,0.4273687026013325,0.43174382067827627
165,0.1772450753471938,0.43197873731884706
166,0.41206063150843586,0.4704479541093484
167,0.5654149531895015,0.43969849033822334
168,0.6968103569082414,0.445486138107114
169,0.5809106015522691,0.4477469445409381
