,SENSEX/LBEATREU inst_corr,SENSEX/LBEATREU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,1.159734747726097,
121,1.159734747726097,
122,0.9694151526421161,
123,0.47302575619761256,
124,0.9816535745202762,
125,0.9816535745202762,
126,0.9072232000496615,
127,0.9072232000496615,
128,0.9072232000496615,
129,0.4921169898516051,
130,0.20611847169624972,
131,0.4133947122789414,
132,0.9507472477414799,
133,0.9507472477414799,
134,0.9507472477414799,
135,0.9507472477414799,
136,0.9507472477414799,
137,0.9507472477414799,
138,0.9507472477414799,
139,0.9507472477414799,
140,0.35524480168814265,
141,0.5156892290858132,
142,0.5156892290858132,0.4001529651905273
143,0.8681297961086704,0.34318515982126147
144,0.8697941597363992,0.3533053998197066
145,0.8697941597363992,0.33466796637284585
146,0.8697941597363992,0.21918738846354854
147,0.8697941597363992,0.2150111960037215
148,0.8697941597363992,0.1405679875306981
149,0.9243953751522476,0.08489175698746856
150,0.5302193673105973,-0.09567942468772045
151,0.11556275880175981,-0.11079419655625841
152,0.19466684930434558,-0.13517469917193933
153,0.8886781168062426,-0.05443977409948788
154,0.988195651181193,-0.06414974119364628
155,0.6763255562849216,-0.059465093939987196
156,0.5648262076799814,-0.09323375184713216
157,0.5648262076799814,0.05673534962875269
158,0.5648262076799814,0.06107760261692907
159,0.5648262076799814,0.13937949587530687
160,0.5648262076799814,0.13868839918338796
161,0.5648262076799814,0.33229614238425365
162,0.6426419624146424,0.3342932100973509
163,0.47878345097222275,0.3734168162511483
164,0.2538977591916444,0.4663152193544081
165,0.3065960400710785,0.5321916769750855
166,0.9533057413272824,0.646809505005123
167,0.9533057413272824,0.6438437474029447
168,0.32304240591523875,0.5817116586924921
169,0.8778620202047296,0.6153441995529839
170,0.48410164322379334,0.6222195762782117
171,-0.17807359516081947,0.4702117655265184
172,0.6597496744165396,0.47547154071086123
173,0.6597496744165396,0.5054309204029795
