,CAC/XNBI inst_corr,CAC/XNBI hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,0.861887073091915,
113,0.861887073091915,
114,0.861887073091915,
115,0.861887073091915,
116,0.861887073091915,
117,0.861887073091915,
118,0.861887073091915,
119,0.861887073091915,
120,0.861887073091915,
121,0.861887073091915,
122,0.861887073091915,
123,0.861887073091915,
124,0.861887073091915,
125,0.861887073091915,
126,0.861887073091915,
127,0.861887073091915,
128,0.861887073091915,
129,0.861887073091915,
130,0.861887073091915,
131,0.861887073091915,
132,0.861887073091915,
133,0.899768071374777,0.9555692733348817
134,0.899768071374777,0.9538669150100086
135,0.899768071374777,0.9437393527598341
136,0.899768071374777,0.9441054522138963
137,0.899768071374777,0.9452488533765305
138,0.899768071374777,0.9490418341747681
139,0.899768071374777,0.9627425854881326
140,0.899768071374777,0.9691448875188232
141,0.899768071374777,0.9670898682751643
142,0.899768071374777,0.9670732077296322
143,0.899768071374777,0.9641162643854718
144,0.899768071374777,0.9648461160329245
145,0.899768071374777,0.957839919347488
146,0.899768071374777,0.9522860550045408
147,0.899768071374777,0.9497005040395708
148,0.899768071374777,0.9415888773091706
149,0.899768071374777,0.9417177959692155
150,0.899768071374777,0.9426504686761684
151,0.899768071374777,0.9476377348681205
152,0.899768071374777,0.942945538072913
153,0.899768071374777,0.9480526089841376
154,0.7233150614955426,0.9565188502024208
155,0.5902482407122382,0.9587932208870021
156,0.837017730487315,0.9654979939426562
157,0.9578433162263498,0.9731524320470254
158,0.7793604325626736,0.9769268940733261
159,0.7793604325626736,0.9766874978756394
160,0.7793604325626736,0.9792886697964197
161,0.7793604325626736,0.9798220238463413
162,0.7793604325626736,0.9814633652718101
163,0.8752521994144288,0.9775556197412375
164,0.8752521994144288,0.9795600579912506
165,0.8752521994144288,0.9794032951173799
166,0.8752521994144288,0.9796355184434391
167,0.8752521994144288,0.9796232298834054
168,0.8752521994144288,0.9818278969511063
169,0.8752521994144288,0.9816941209683464
