,SENSEX/LF94TRUU inst_corr,SENSEX/LF94TRUU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,0.5459139810282868,
129,0.9378818019800809,
130,0.5528123119489275,
131,0.9370099712826372,
132,0.8527717312006683,
133,0.4038701047093545,
134,0.22303607487035798,
135,0.2353238053743587,
136,-0.19040240109835643,
137,0.01926578700926616,
138,0.48435708712228476,
139,0.3546889738850274,
140,-0.13086476280749892,
141,-0.14395911747077633,
142,0.24972150280955782,
143,0.0982298675706087,
144,0.565414908211255,
145,0.7729491618005373,
146,-0.089852417920168,
147,-0.600721677406083,
148,-0.5618756333395294,
149,0.05188128224079488,0.047691781129005385
150,0.738850015162807,-0.00898866796131628
151,0.7178241835123729,-0.0018427015432986703
152,0.5535056005047234,-0.06264329458143936
153,0.7825698784497798,-0.15343136513174266
154,0.5791355924950228,-0.24674229401953623
155,0.44393503438455395,-0.21679677154011304
156,0.01508101426004376,-0.19825549650261845
157,-0.015679254193145135,-0.32894183841873437
158,0.36027044250701656,-0.2190789285251043
159,0.28400384248932414,-0.1945529965576682
160,0.43324609762108274,-0.20150171112000165
161,0.6360469382118318,-0.2010609290187937
162,0.6360469382118318,-0.11990706984330483
163,0.6360469382118318,-0.0798024106585411
164,0.6567246006945437,-0.056384814616599215
165,0.6567246006945437,-0.06037560260960621
166,0.820318297846501,0.0942510090718717
167,0.6299852341488489,0.12154117868099594
168,0.9158074474443029,0.12693573783646003
169,0.5129658773085757,0.5270806851129856
170,0.23249636161468956,0.6432119646864356
171,-0.03981031838958366,0.4583696007304199
172,-0.29730555547066084,0.4489152969994228
173,-0.6303006411199032,0.2689983573751091
174,-0.310856593362075,0.18639171260452914
175,0.2237406913824753,0.2173792238096953
176,-0.150581679711818,0.17076182898738623
177,0.17541717952762806,0.17681141228188654
178,0.2733771952862393,0.15233135254476102
