,FTMIGMI/SHCOMP inst_corr,FTMIGMI/SHCOMP hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,2.2876493753780425,
118,2.2876493753780425,
119,2.2876493753780425,
120,2.2876493753780425,
121,2.2876493753780425,
122,2.2876493753780425,
123,0.9031608198054137,
124,0.9031608198054137,
125,0.9031608198054137,
126,0.8600955202482913,
127,0.8600955202482913,
128,0.8600955202482913,
129,0.8600955202482913,
130,0.8600955202482913,
131,0.8600955202482913,
132,0.8600955202482913,
133,0.8600955202482913,
134,0.8600955202482913,
135,0.8600955202482913,
136,0.8600955202482913,
137,0.8600955202482913,
138,0.8600955202482913,
139,0.8600955202482913,0.2931112806352514
140,0.8600955202482913,0.3304286772492098
141,0.8600955202482913,0.3067196732010777
142,0.8600955202482913,0.39497538503528834
143,0.8600955202482913,0.4137642252791351
144,0.8600955202482913,0.3681990169837766
145,0.8600955202482913,0.44983643059804906
146,0.8600955202482913,0.6619049522814049
147,0.8600955202482913,0.749114053533387
148,0.8600955202482913,0.7260970213749315
149,0.731670383840309,0.6996601509061561
150,0.16662201527099385,0.5359031401225538
151,0.24720367358917078,0.33035197341597594
152,0.9051143864048862,0.6363071196037449
153,0.7834361980005664,0.5945658255912676
154,0.35211000099924494,0.6094831721875344
155,0.35211000099924494,0.6667944496911006
156,0.35211000099924494,0.6802222091841928
157,0.9438863280654135,0.6975062470534973
158,0.594359026485263,0.6928458307639151
159,0.9291186912177094,0.7127549235294949
160,0.9291186912177094,0.7148768561246867
161,0.9291186912177094,0.7116096622021402
162,0.9291186912177094,0.71402572979581
163,0.9291186912177094,0.7119140508665593
164,0.9291186912177094,0.6899014019494623
165,0.9291186912177094,0.6842951962948414
166,0.9291186912177094,0.6833264058440005
167,0.9291186912177094,0.6958656811264737
168,0.9291186912177094,0.6972854893156175
169,0.9291186912177094,0.7015523955728433
170,0.9291186912177094,0.7111814258198574
171,0.9291186912177094,0.7128025198145221
