,FTMIGMI/LBUSTRUU inst_corr,FTMIGMI/LBUSTRUU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,1.7214112314330383,
107,1.7214112314330383,
108,1.7214112314330383,
109,0.7447411656223063,
110,0.7447411656223063,
111,0.7447411656223063,
112,0.7447411656223063,
113,0.7447411656223063,
114,0.7447411656223063,
115,0.7447411656223063,
116,0.7447411656223063,
117,0.7447411656223063,
118,0.7447411656223063,
119,0.7447411656223063,
120,0.7447411656223063,
121,0.7447411656223063,
122,0.7447411656223063,
123,0.7447411656223063,
124,0.7447411656223063,
125,0.7447411656223063,
126,0.9924551507064395,
127,0.6442495520962369,
128,0.701808876820924,0.7126044840220366
129,0.863304079264771,0.6577806800969674
130,0.863304079264771,0.6204746742197316
131,0.863304079264771,0.6321391138262832
132,0.863304079264771,0.5241234219601656
133,0.863304079264771,0.534201626134222
134,0.863304079264771,0.6590449641021779
135,0.8880995308270905,0.6022182533455979
136,0.8880995308270905,0.5888907119171137
137,0.8880995308270905,0.5447024257134415
138,0.8880995308270905,0.5362136998799423
139,0.8880995308270905,0.5169826297183174
140,0.8880995308270905,0.4929160275036414
141,0.8327734356735984,0.4494738879197452
142,0.6649773876317405,0.4541783561980109
143,0.6649773876317405,0.47894978945440375
144,0.6649773876317405,0.4938439967756886
145,0.6649773876317405,0.44712233746387686
146,0.6649773876317405,0.39634390863432134
147,0.8623002527388867,0.5064066397136683
148,0.9756944573921005,0.5459278803639834
149,0.9756944573921005,0.5484587259606283
150,0.7695122686263366,0.5635789145880113
151,0.5626924353829754,0.6739922803673576
152,0.4429443560241498,0.70907370815346
153,0.8548936732586946,0.7797158515081851
154,0.5680011949983337,0.7664548722520776
155,0.3256551034171633,0.7457349004967171
156,0.3256551034171633,0.7623215675395145
157,0.3256551034171633,0.7816399433297516
158,0.479710638321892,0.736279515636788
159,0.29756705416889756,0.7083911828115234
160,0.7199824246151905,0.7300912613270991
161,0.7199824246151905,0.6988083835646711
162,0.7199824246151905,0.7019165247021016
163,0.6829249001743192,0.7104175519545878
