,Asset 1/Asset 2 inst_corr,Asset 1/Asset 2 hist_corr
0,,
1,-0.009437088706320648,
2,-0.037617602164632086,
3,-0.11242689594479605,
4,-0.07813273730914468,
5,-0.059120161223296296,
6,-0.03421025405817896,
7,0.023011102337588664,
8,0.19385559412455472,
9,0.19070161922514986,
10,0.19694786874957312,
11,0.21332204568194868,
12,0.1752103303768559,
13,0.11913717546144284,
14,0.10194604083774828,
15,0.05890326812110211,
16,0.009709146320545415,
17,-0.012235165360209098,
18,-0.03330747897310876,
19,-0.021170517689586235,
20,0.01892290782334134,
21,0.18501011559824315,
22,0.6969972231328508,-0.07416928275859289
23,0.4106941681772128,-0.059131908488028455
24,0.3894600504271093,0.02150500429390743
25,0.705174854588964,0.054195800175217114
26,0.705174854588964,0.05712412722470694
27,0.4586796144670168,0.088597059341145
28,0.19951265189445247,0.2583979332323049
29,0.20236288690067722,0.28359869068433247
30,0.5445628114503763,0.27904835723509974
31,0.803404595890185,0.2787167253570064
32,0.5361855481382432,0.24843827851272585
33,0.11383012256868376,0.25086052719682383
34,-0.010179833335513132,0.2727971497723961
35,-0.10972959513234337,0.2399988125444893
36,-0.37934959933568757,0.24362027921763227
37,-0.1265708339843819,0.13053943394249223
38,-0.0991739906698831,0.0686318230808333
39,-0.08881998246098191,0.03920559242014964
40,-0.13876533899566168,0.07172311766513262
41,-0.07997240616111558,0.07180086196454957
42,-0.06222679539048348,0.08277855565236385
43,-0.031739784010037894,0.07009501647326878
44,-0.03782591704961375,-0.009767125648948327
45,-0.057219097684442215,0.011720655067666898
46,-0.1165514501368872,0.0001662989774656467
47,-0.24815287139002398,0.002625661024337608
48,-0.27261129182429633,0.019008893902269904
49,-0.1804155334976247,-0.04880750021493645
50,-0.19539851085399831,-0.12316220140107997
51,-0.24815752819722556,-0.22948578818633392
52,-0.2256804207876043,-0.2445664687475685
53,-0.16082854796450474,-0.29641835217756285
54,-0.10298520275879204,-0.30152039453670765
55,-0.002473372263196663,-0.24638423529173156
56,0.11729115128477233,-0.2758422843540515
57,0.27198733554946314,-0.2685313038174212
58,0.3679498637615899,-0.2829370902181259
59,0.17308067771316482,-0.26670980399752525
60,0.03769446051355398,-0.19148538420442765
61,-0.042146402769961455,-0.19086298001387278
62,-0.049959384110918,-0.14621093404097482
63,-0.06945674480290895,-0.2134797667753621
64,-0.23207063303029957,-0.233132261372101
65,-0.39731247068213077,-0.22524046575044293
66,-0.15355471425155318,-0.14934566608787528
67,-0.08688205802829267,-0.20353122743741667
68,0.009024089368106617,-0.2627663510025142
69,0.07517545414045211,-0.2545555884381222
70,0.0595489003989803,-0.220331962518882
71,0.05895917445845043,-0.19836530486768614
72,0.012579656249451053,-0.21646899608637277
73,-0.02885262787683501,-0.1311784830680021
74,-0.06435001679134125,-0.21561122529303506
75,-0.113595482284704,-0.14088160858220344
76,-0.16233649346802323,-0.16160885102260017
77,-0.18504915675507458,-0.2849507979011209
78,-0.04782455346416369,-0.31431734674874223
79,0.1080259349197287,-0.3006004913856215
80,0.18891817066119976,-0.3214729989333592
81,0.1479852004780864,-0.2701635852117385
82,0.10290072345717723,-0.37789132208509607
83,0.11401660724765086,-0.06383455396856835
84,0.2064968288517906,-0.08964905704904863
85,0.2689246396472474,0.06057459671831643
86,0.254840760163497,0.07297133386920826
87,0.1674891300594791,0.0900662515156587
88,0.024614142363471724,0.10430096202657038
89,-0.04328983310351191,0.08775151296160377
90,-0.04160470479954346,0.04238490691123694
91,-0.045270079323724885,0.0771350446383952
92,-0.13251403489553876,0.008515334713165873
93,-0.23815402881382466,0.010351144447272524
94,-0.15974257126870786,0.019508018961412337
95,-0.21852260054631042,0.038967265097595065
96,-0.1479192989350536,0.06669438411794774
97,-0.13565927403132583,0.027555044017791033
98,-0.2043666649140214,0.07501460802625973
99,-0.22603604645015335,0.07917338217527665
100,-0.048163176644823426,0.05693419542304602
101,0.0849860410718901,0.027673066032292495
102,0.3565240989250056,0.024457039136217128
103,0.20797701264614568,-0.0009595365160034526
104,0.18657450158179562,0.15330309682824145
105,0.4204503535581838,-0.07530884580886255
106,0.7356795129283346,-0.05713026355987806
107,0.5230405102302567,-0.12224334960743281
108,0.8076238306145591,-0.11762197713346646
109,0.23828625122329705,-0.22403189645484456
110,0.20405062730355913,0.10936561746786783
111,0.3404418740113418,0.16944299557024178
