,LG30TRUU/SENSEX inst_corr,LG30TRUU/SENSEX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,0.8607131374235312,
121,0.8607131374235312,
122,0.26300828035444784,
123,0.7493272934133632,
124,0.5546497360094238,
125,0.5317947147862658,
126,0.8529269759649848,
127,0.8565088258811964,
128,0.20079519503119547,
129,-0.2048091908169234,
130,-0.01705417195786989,
131,0.9432416977979852,
132,0.9395322715862856,
133,0.9005593928362594,
134,0.9005593928362594,
135,0.8571894809564243,
136,0.5842618177156266,
137,0.9547580721694259,
138,0.8807399464754926,
139,0.3382211181247216,
140,-0.0964757116975688,
141,0.34489334787515435,
142,0.9027281244552134,0.0970557860059862
143,0.32294628556254446,0.035902156825164275
144,0.37915300518871703,0.04538956421487006
145,0.6204397534515198,0.06440548991681323
146,0.4546804318012492,-0.03077828696305769
147,0.4546804318012492,0.006159019694340265
148,0.4546804318012492,-0.09823558724873921
149,0.7671829160144504,-0.1284066823385482
150,0.6642473629685599,-0.06407420497581401
151,0.5119037966185609,-0.08178246446310217
152,0.4574584947682158,0.0016133319587728885
153,0.7977574521264763,-0.00988874257615416
154,0.5860272718059649,-0.038128929569603204
155,0.5810870913152257,0.05128366630065385
156,0.9789877294886099,0.03755906717235585
157,0.9789877294886099,-0.023310881262507247
158,0.7850925831601326,0.01755798582221226
159,0.4028222946156911,-0.02553408830912421
160,0.4028222946156911,0.05907970282553123
161,0.4028222946156911,0.32015025894353294
162,0.49595536325342204,0.41835391695203605
163,0.2519585054247883,0.4544643925015754
164,0.28571976595542997,0.5506490391191351
165,0.38005932762721184,0.6020342587797569
166,0.4737483089440708,0.5383819819310413
167,-0.07626024612080105,0.5099550587342038
168,-0.6371097709628109,0.32706748736935176
169,-0.3535232623047845,0.2560666597748247
170,0.6787962795362845,0.29405628347613727
171,0.2388196087899816,0.2653140968544353
172,0.2154603656409041,0.274332797170711
173,-0.031331821882548884,0.23583135368718977
