,NKY/FTMIGMI inst_corr,NKY/FTMIGMI hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,1.6148526704401152,
121,1.6148526704401152,
122,1.6148526704401152,
123,0.9981846946103384,
124,0.9981846946103384,
125,0.9507732843545907,
126,0.9507732843545907,
127,0.9507732843545907,
128,0.9507732843545907,
129,0.9507732843545907,
130,0.9507732843545907,
131,0.9507732843545907,
132,0.9507732843545907,
133,0.9507732843545907,
134,0.9507732843545907,
135,0.9507732843545907,
136,0.9507732843545907,
137,0.9507732843545907,
138,0.9507732843545907,
139,0.9507732843545907,
140,0.8762047103085234,
141,0.7359315999792756,0.7749956462189482
142,0.8873513774464219,0.8042609457552485
143,0.8873513774464219,0.8195706365312344
144,0.8873513774464219,0.8123081862741087
145,0.8873513774464219,0.7599973857539895
146,0.8873513774464219,0.8053448192608635
147,0.8873513774464219,0.8027076200072399
148,0.8873513774464219,0.7944589509107859
149,0.8873513774464219,0.7959785539587306
150,0.8873513774464219,0.8074344815243473
151,0.8873513774464219,0.8069590343797975
152,0.8873513774464219,0.7955906737983561
153,0.8873513774464219,0.8015900488876015
154,0.8873513774464219,0.7707349542022317
155,0.8919518059618515,0.7466418241700519
156,0.8919518059618515,0.73509002408377
157,0.8919518059618515,0.7144886518110798
158,0.8526079419118564,0.7601263494394497
159,0.2884676039554178,0.739480082419742
160,0.5643111025023034,0.5993806032538743
161,0.9310025323292532,0.6443338941995504
162,0.5884628195837234,0.7195240986747883
163,0.6554190475013476,0.7437282278031446
164,0.8977395992653732,0.7284181810021335
165,0.4602628290391317,0.6542813851118311
166,0.6335776849509906,0.6920695577530539
167,0.743946496722916,0.6270369972844816
168,0.35123813490994144,0.5976019578111943
169,0.37810424244906665,0.6270943301364842
170,0.3890305881182131,0.5963652374046473
171,0.8690626768121611,0.5756169505495342
172,0.8334244272712897,0.582020696718217
173,0.9571693722944026,0.5796374369738215
