,LGER/CAC inst_corr,LGER/CAC hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,0.700224685756167,
113,0.8923821254079466,
114,0.8923821254079466,
115,0.8923821254079466,
116,0.8923821254079466,
117,0.8923821254079466,
118,0.8923821254079466,
119,0.8923821254079466,
120,0.8923821254079466,
121,0.8923821254079466,
122,0.8923821254079466,
123,0.8923821254079466,
124,0.8923821254079466,
125,0.8923821254079466,
126,0.8923821254079466,
127,0.8923821254079466,
128,0.8923821254079466,
129,0.8923821254079466,
130,0.8923821254079466,
131,0.8923821254079466,
132,0.8923821254079466,
133,0.8360681814647055,0.9453238534744195
134,0.9429508229988015,0.9444045755817425
135,0.9429508229988015,0.9354179770068325
136,0.9429508229988015,0.9265360480722369
137,0.9429508229988015,0.9237698170130418
138,0.9429508229988015,0.9237203868756979
139,0.9429508229988015,0.933960737893063
140,0.9429508229988015,0.9339086114211322
141,0.9429508229988015,0.9308352134717369
142,0.9429508229988015,0.9323256204808267
143,0.9429508229988015,0.9176852929836127
144,0.9429508229988015,0.9206361092310574
145,0.9429508229988015,0.9053578938376767
146,0.9429508229988015,0.8657589394779379
147,0.9429508229988015,0.8748892375102653
148,0.9429508229988015,0.8729919229845625
149,0.9429508229988015,0.8548974378485837
150,0.9429508229988015,0.8552254083434009
151,0.9429508229988015,0.8606418568171577
152,0.9429508229988015,0.8543318233266305
153,0.8371966818418093,0.8423114769675482
154,0.6150493682417243,0.8613042509922484
155,0.5991519451337717,0.8109534832677646
156,0.8412740126791078,0.8419619401673663
157,0.9391128797444473,0.8712864035451982
158,0.7674178312156879,0.8935538711462194
159,0.7674178312156879,0.8974338262591399
160,0.7674178312156879,0.9095000692274696
161,0.7674178312156879,0.9083807308587776
162,0.7674178312156879,0.9153213557484339
163,0.8786323781575122,0.8998406100089906
164,0.8786323781575122,0.9044020826021103
165,0.8786323781575122,0.9136045976549384
166,0.8786323781575122,0.9192075097913031
167,0.8786323781575122,0.917889731199306
