,MXBR/LBEATREU inst_corr,MXBR/LBEATREU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,0.3383937593140727,
54,0.3383937593140727,
55,0.3619621080669698,
56,0.029787522631589413,
57,-0.46163826512906797,
58,-0.9867711433657703,
59,0.6952736680173119,
60,0.5641032258028481,
61,0.45099609370879346,
62,0.33560410146003067,
63,0.23605021610403487,
64,-0.2221975499063548,
65,-0.8572222641743213,
66,0.26128219132065517,
67,0.7548370681738769,
68,0.28396618443248706,
69,0.07609434032906254,
70,0.06116473571067306,
71,0.06116473571067306,
72,0.8084882451522597,
73,0.6419326328928792,
74,-0.06741610309845866,
75,-0.5077080294315188,0.10426722437758489
76,-0.4694849833847321,-0.020314708090598075
77,0.2874097307005403,0.033763219488880315
78,0.3327774604224591,0.08248193882714265
79,0.3327774604224591,0.23300980950672928
80,0.314923581912451,0.26123818493843914
81,0.6246831690525064,0.24732903375426607
82,0.6246831690525064,0.30437860386919263
83,0.5317723293418173,0.3037402434640043
84,0.146002051346287,0.3087630706478444
85,-0.4144763190669776,0.294005848421927
86,0.07976168933206469,0.29396887679040795
87,0.39147758981261904,0.48146706906711273
88,0.9773910450558766,0.4781588476612777
89,0.12108707068275443,0.44700112811151216
90,0.5806992123974968,0.493748507370173
91,0.5806992123974968,0.5378103848880454
92,0.5806992123974968,0.5599260924867072
93,0.2938892347857318,0.4248673312999205
94,0.3036182738644451,0.4286476612587963
95,0.48279809494143555,0.4474134739039835
96,0.04406261606449489,0.4791968202777774
97,0.18546327632340176,0.5403833954511745
98,-0.2957290172884499,0.5142635543101433
99,-0.479830961269026,0.5221032651776258
100,-0.038364316649516124,0.46479459188090844
101,0.22705606631943195,0.40301954904681725
102,-0.12629489459941082,0.30780815054021826
103,-0.056539473043751856,0.261816696078621
104,-0.19413271765304718,0.20704124064228363
105,-0.15880715787358193,0.13191512654288515
106,0.8798704285753682,0.2545609102293973
107,0.2105221897795565,0.2790459656444292
108,-0.22459461608058942,0.22101067598525187
109,0.19512694712988096,0.20769005918546826
110,-0.5679318719633554,0.10190165642873394
111,-0.05450771529472571,0.10815013616834754
112,0.4248975207712539,0.015241102059245806
113,0.2023680779405479,-0.10477159886095996
114,0.2023680779405479,0.0853063544625293
115,0.40332518430488723,0.08788073421237275
116,0.20663229021303198,0.10778366016854896
117,0.6728310597980646,0.15549516912251368
118,-0.3378339403371044,0.1288512477462395
119,0.23432239897413976,0.15468270131934564
120,-0.2677453452551038,0.18724360733516401
121,-0.2075819086888128,0.10099912819611659
122,0.06725548853882804,0.04673086434470347
123,0.3602835448024871,0.08505675074752181
124,0.1415227230589354,0.12462447213865097
125,0.6617984081276866,0.16284786672517554
126,0.3366179938260956,0.17805682978169976
127,-0.6384076692509856,0.16684943910552466
128,-0.18073967411597644,0.08461078256865014
129,-0.5431929085097926,0.00030432159512091525
130,0.2511494415381592,0.048087489627169404
131,-0.03611394894259204,0.04763263992626983
132,0.07731485352260982,0.10949937709470461
133,0.6796666243718292,0.16889218871697106
134,0.7708083038906152,0.18685335921575827
135,0.15125788451198216,0.18295729857648074
136,0.27945955772733383,0.11049708666579965
137,-0.09298058003153906,0.10512824537657708
138,0.24714161639887783,0.09762896639427687
139,-0.2244145252126189,0.027140043338738307
140,-0.6589322298695561,-0.10830399951032364
141,0.3048492762122383,-0.08932910177026013
142,0.7135742645138292,0.011578818086012452
143,0.006218120334328402,0.004037959782064517
144,-0.7021406185993796,-0.12955940546626615
145,-0.15788846086367603,-0.139086910633278
146,0.319062906768152,-0.11478003620828074
147,0.317066127891081,-0.08668485885486975
148,-0.20763616136321605,-0.13537165055111838
149,-0.3260844883305498,-0.08278184939322042
150,0.6247842769942676,-0.04654439864258561
151,0.14578573720000132,-0.022523680961601754
152,0.6129676779203784,0.003202849623711639
153,0.20879890721324,0.021512284658989137
154,0.9291227321864188,0.08103018590405957
155,0.5758234842056603,0.1029071586761571
156,0.5104251728231609,0.1046516376733067
157,0.44082957120145666,0.12297137194985439
158,-0.3399552955048142,0.10047466471493167
159,0.5837976847464437,0.11640493987088646
160,0.1233497191225371,0.13916636700151172
161,0.03918542947105837,0.12948834503852796
162,0.5503305620556043,0.2377719443775572
163,0.32402930035142036,0.20208927274791888
164,-0.11711742278951995,0.13887359600507354
165,-0.33962473540594545,0.10647067311022786
166,0.02792259793748599,0.3036773480169318
167,0.15250572895954467,0.3125416557321652
168,0.09694229375696511,0.2754790361768291
169,0.09928081653892924,0.24803331320783553
170,-0.425875526455418,0.26751092580552993
171,0.17718908610326217,0.3328568613344039
172,0.005563725799715299,0.32075954957797864
173,0.11511808144107095,0.28091843339724354
174,0.3783361269457093,0.24705581680893537
175,0.10335470967131778,0.25281168399167736
176,-0.5516082613700278,0.1362528200673488
177,0.2031376995743859,0.08107108690001999
178,0.29459135973937106,0.03772044187050454
179,-0.5099316515504525,-0.02177006827726737
180,0.10566963847272952,0.030211258158695412
181,0.4290437569047464,0.017164511100395446
