,SPXT/SPX inst_corr,SPXT/SPX hist_corr,SPXT/LG30TRUU inst_corr,SPXT/LG30TRUU hist_corr,SPX/LG30TRUU inst_corr,SPX/LG30TRUU hist_corr
128,2.019806731588781,,1.809332006123816,,1.8096216644571788,
129,2.019806731588781,,1.809332006123816,,1.8096216644571788,
130,2.019806731588781,,1.809332006123816,,1.8096216644571788,
131,2.019806731588781,,1.809332006123816,,1.8096216644571788,
132,2.019806731588781,,1.809332006123816,,1.8096216644571788,
133,2.019806731588781,,1.809332006123816,,1.8096216644571788,
134,2.019806731588781,,1.809332006123816,,1.8096216644571788,
135,2.019806731588781,,1.809332006123816,,1.8096216644571788,
136,2.019806731588781,0.9998931144845955,1.809332006123816,0.8516546351763079,1.8096216644571788,0.8534751770524855
137,2.019806731588781,0.9998607548032844,1.809332006123816,0.850981422942518,1.8096216644571788,0.8531719469894355
138,2.019806731588781,0.9998669829162345,1.809332006123816,0.8826641283218617,1.8096216644571788,0.8858642142255747
139,2.019806731588781,0.9998512849371509,1.809332006123816,0.8584324252151876,1.8096216644571788,0.8611426097653353
140,2.019806731588781,0.9997716684663002,1.809332006123816,0.817868682377717,1.8096216644571788,0.8169828529859183
141,2.019806731588781,0.9997858769171988,1.809332006123816,0.8336926607724437,1.8096216644571788,0.8316744780461808
142,2.019806731588781,0.9997965444269087,1.809332006123816,0.7898839735699321,1.8096216644571788,0.7885639343902688
143,2.019806731588781,0.9998098151328422,1.809332006123816,0.7938164838302656,1.8096216644571788,0.7922156053822064
144,2.019806731588781,0.9998211718966762,1.809332006123816,0.7774445122900606,1.8096216644571788,0.7763019364414119
145,2.019806731588781,0.9998393146840862,1.809332006123816,0.7833306264063362,1.8096216644571788,0.7817537978292254
146,2.019806731588781,0.9998392091695828,1.809332006123816,0.7630181761464767,1.8096216644571788,0.7602699887006137
147,2.019806731588781,0.9998201180500047,1.809332006123816,0.7408505190842852,1.8096216644571788,0.7380286351947134
148,2.019806731588781,0.9998299463843877,1.809332006123816,0.749687111469281,1.8096216644571788,0.7469483649673819
149,2.019806731588781,0.9998189790762863,1.809332006123816,0.7379961051519188,1.8096216644571788,0.7348445343481119
150,2.019806731588781,0.9998175166308853,1.809332006123816,0.7251126641012761,1.8096216644571788,0.7215245907424176
151,2.019806731588781,0.9998192197090439,0.6164843766385184,0.6985913017129317,0.6160612351395354,0.6959197948958352
152,2.019806731588781,0.9998523431576082,0.6164843766385184,0.7560495671999791,0.6160612351395354,0.7546356103533136
153,2.019806731588781,0.9998751214370672,0.6164843766385184,0.7642326607980974,0.6160612351395354,0.7630385202800047
154,2.019806731588781,0.9999078373009969,0.6164843766385184,0.8343583394033677,0.6160612351395354,0.833402436026576
155,2.019806731588781,0.9999210541516623,0.7756953184782083,0.7774123776929502,0.7756934306141747,0.7759305023480916
156,0.38004259568190424,0.9999010481771811,0.2809421723996814,0.7717696999454149,0.2806795276802612,0.770420898774557
157,0.39023258317235987,0.9999436966042013,0.3413182870738884,0.74883002756963,0.341180861514861,0.7481665891269088
158,0.39023258317235987,0.999977142027031,0.3413182870738884,0.8824511749567097,0.341180861514861,0.882025904468522
159,0.39023258317235987,0.9999826162729444,0.3413182870738884,0.8323302370415038,0.341180861514861,0.8321833455866547
160,0.36408646277319834,0.9999827981162903,0.28672859473153023,0.8145397761684877,0.28649771525271117,0.8143473786420414
161,0.36408646277319834,0.9999870402028546,0.28672859473153023,0.8608997739926451,0.28649771525271117,0.8607907806557736
162,0.36408646277319834,0.9999865074202745,0.28672859473153023,0.8684012624272385,0.28649771525271117,0.8690796959830146
163,0.36408646277319834,0.9999873656332569,0.28672859473153023,0.8756674536065566,0.28649771525271117,0.8763521997631316
164,0.8632111008327635,0.9999872377927373,0.8266444307316397,0.8753865776070685,0.8359649244389249,0.8760625905932834
165,0.8760327588995913,0.9999839007962336,0.8234979687802362,0.8796076215779074,0.8275662422104957,0.8800923935742702
166,0.8760327588995913,0.9999826988981668,0.8234979687802362,0.8871916995685522,0.8275662422104957,0.8875215382417043
167,0.8760327588995913,0.9999833564059906,0.8234979687802362,0.8748721267639628,0.8275662422104957,0.8752127671833335
168,0.8760327588995913,0.9999834165246813,0.8234979687802362,0.874996871221255,0.8275662422104957,0.875328306257665
169,0.8760327588995913,0.9999835185409194,0.8234979687802362,0.8740901595876793,0.8275662422104957,0.8743965852083398
170,0.731268505116719,0.999984016734446,0.7034075256545743,0.8718740515277756,0.7053719585581814,0.8721742976306955
171,0.9139980895322096,0.999984871164961,0.7809415775116323,0.8780133193669242,0.7819688570636479,0.8783116604533467
172,0.9139980895322096,0.999986118427737,0.7809415775116323,0.8823170699124062,0.7819688570636479,0.8825480199123349
173,0.9139980895322096,0.9999869382963342,0.7809415775116323,0.8849928828706682,0.7819688570636479,0.885058868516359
174,0.9751128091855067,0.9999877806055211,0.81198252238242,0.8877776466129191,0.8076029488101374,0.8876167853614871
175,0.9751128091855067,0.9999877471436396,0.81198252238242,0.8924848964851921,0.8076029488101374,0.8923282368006029
176,0.9751128091855067,0.9999877043558503,0.81198252238242,0.8972430361399327,0.8076029488101374,0.8971353077037296
177,0.9751128091855067,0.9999873506571066,0.81198252238242,0.9222254460342971,0.8076029488101374,0.9224546963518717
178,0.9751128091855067,0.9999876874192302,0.81198252238242,0.9226077118974261,0.8076029488101374,0.9227935763614
179,0.9751128091855067,0.9999866225806501,0.8768549532060713,0.9223268765829369,0.8795373094185309,0.9225469440870883
180,0.6424339974269851,0.9999771202523021,0.6372994006980714,0.8758150830799825,0.6332631870976707,0.875954442761932
181,0.6424339974269851,0.9999757498024959,0.6372994006980714,0.9269004896031401,0.6332631870976707,0.9270483899833156
182,0.6424339974269851,0.999974839405374,0.6372994006980714,0.9404805924983277,0.6332631870976707,0.9403902184904531
183,0.6424339974269851,0.9999558340173668,0.6372994006980714,0.8955743127439025,0.6332631870976707,0.8955545616789174
184,0.6424339974269851,0.9999567632285989,0.6372994006980714,0.9115951158409124,0.6332631870976707,0.9108767126102909
185,0.6424339974269851,0.9999542896477339,0.6372994006980714,0.9066385275907329,0.6332631870976707,0.9059041181922091
186,0.9229723432849536,0.9999535089282647,0.809752075361252,0.9129894881805625,0.8066792053449902,0.9123838322592361
