,M1EF/FTMIGMI inst_corr,M1EF/FTMIGMI hist_corr,GBIEMDCW/GBIEMDCW inst_corr,GBIEMDCW/GBIEMDCW hist_corr
279,0.9173657782359128,1.0,0.7537962250794157,1.0
280,0.9173657782359128,1.0,0.7537962250794157,1.0
281,0.9173657782359128,1.0,0.7537962250794157,1.0
282,0.9173657782359128,1.0,0.7537962250794157,1.0
283,0.9173657782359128,1.0,0.7537962250794157,1.0
284,0.9173657782359128,1.0,0.7537962250794157,1.0
285,0.9173657782359128,1.0,0.7537962250794157,1.0
286,0.8725816869449438,1.0,0.7537962250794157,1.0
287,0.7934960810610908,1.0,0.7537962250794157,0.9999999999999998
288,0.7934960810610908,1.0,0.7537962250794157,0.9999999999999998
289,0.9911631907498827,1.0,0.8735035786878087,1.0
290,0.9911631907498827,0.9999999999999998,0.6207154881004644,0.9999999999999999
291,0.9911631907498827,0.9999999999999998,0.9026484791923314,0.9999999999999999
292,0.9911631907498827,1.0,0.9026484791923314,0.9999999999999999
293,0.9911631907498827,1.0,0.9026484791923314,1.0
294,0.9911631907498827,0.9999999999999998,0.9026484791923314,1.0
295,0.9911631907498827,0.9999999999999998,0.9026484791923314,1.0
296,0.9911631907498827,1.0,0.9026484791923314,1.0
297,0.9898534000276034,1.0,0.9026484791923314,1.0
298,0.9898534000276034,1.0,0.9026484791923314,0.9999999999999999
299,0.9898534000276034,1.0,0.9026484791923314,1.0
300,0.9898534000276034,1.0,0.9026484791923314,1.0
301,0.9898534000276034,1.0,0.9026484791923314,1.0
302,0.9898534000276034,0.9999999999999998,0.9026484791923314,1.0
303,0.9898534000276034,1.0,0.9026484791923314,1.0
304,0.8861910550160691,1.0,0.9026484791923314,1.0
305,0.8861910550160691,0.9999999999999998,0.7731408407121775,1.0
306,0.8861910550160691,0.9999999999999998,0.9154608848747633,1.0
307,0.8861910550160691,1.0,0.9154608848747633,0.9999999999999999
308,0.8861910550160691,1.0,0.9154608848747633,1.0
309,0.8861910550160691,1.0,0.9154608848747633,1.0
310,0.8861910550160691,1.0,0.9154608848747633,1.0
311,0.8861910550160691,1.0,0.9154608848747633,0.9999999999999998
312,0.8861910550160691,1.0,0.9154608848747633,0.9999999999999999
313,0.8861910550160691,0.9999999999999998,0.7895111459856912,1.0
314,0.8861910550160691,1.0,0.7895111459856912,1.0
315,0.8861910550160691,1.0,0.7895111459856912,1.0
316,0.8861910550160691,1.0,0.7895111459856912,1.0
317,0.8861910550160691,1.0,0.7895111459856912,1.0
318,0.8861910550160691,1.0,0.988332470512528,0.9999999999999999
319,0.8861910550160691,1.0,0.988332470512528,1.0
320,0.8861910550160691,1.0,0.988332470512528,1.0
321,0.8861910550160691,1.0,0.988332470512528,1.0
322,0.8861910550160691,0.9999999999999998,0.988332470512528,1.0
323,0.8861910550160691,1.0,0.988332470512528,1.0
324,0.8861910550160691,1.0,0.988332470512528,1.0
325,0.7475816513849707,1.0,0.988332470512528,1.0
326,0.8180144987371543,0.9999999999999998,0.988332470512528,0.9999999999999999
327,0.8180144987371543,0.9999999999999998,0.988332470512528,1.0
328,0.8180144987371543,0.9999999999999998,0.769868233164904,1.0
329,0.7809388761161489,1.0,0.8787391572190353,1.0
330,0.8694237222387236,0.9999999999999999,0.8787391572190353,0.9999999999999999
331,0.9832070377236135,0.9999999999999999,0.8787391572190353,1.0
332,0.9875871526653521,0.9999999999999999,0.8787391572190353,1.0
333,0.9875871526653521,1.0,0.8787391572190353,0.9999999999999999
334,0.9875871526653521,1.0,0.8787391572190353,0.9999999999999999
335,0.9875871526653521,0.9999999999999999,0.8787391572190353,1.0
336,0.9875871526653521,1.0,0.8787391572190353,1.0
337,0.9875871526653521,1.0,0.8787391572190353,1.0
338,0.8130350682035739,1.0,0.8787391572190353,1.0
339,0.8130350682035739,1.0,0.8787391572190353,1.0
340,0.8130350682035739,1.0,0.8787391572190353,1.0
341,0.8130350682035739,1.0,0.8787391572190353,0.9999999999999998
342,0.8130350682035739,1.0,0.8787391572190353,0.9999999999999998
343,0.8130350682035739,1.0,0.8787391572190353,1.0
344,0.9761771730286453,1.0,0.8787391572190353,1.0
345,0.6579902808581738,1.0,0.8787391572190353,0.9999999999999998
346,0.7529953980352657,1.0,0.8787391572190353,1.0
347,0.7529953980352657,1.0,0.8787391572190353,1.0
348,0.7529953980352657,1.0,0.8787391572190353,1.0
349,0.7529953980352657,1.0,0.8787391572190353,1.0
350,0.7529953980352657,1.0,0.8787391572190353,1.0
351,0.8480825761370351,1.0,0.8787391572190353,1.0
352,0.8480825761370351,1.0,0.8787391572190353,0.9999999999999999
353,0.8480825761370351,0.9999999999999999,0.8787391572190353,1.0
354,0.8480825761370351,0.9999999999999999,0.8787391572190353,1.0
355,0.8480825761370351,1.0,0.8787391572190353,1.0
356,0.8480825761370351,0.9999999999999999,0.8787391572190353,1.0
357,0.8480825761370351,1.0,0.8787391572190353,0.9999999999999999
358,0.8480825761370351,0.9999999999999999,0.8787391572190353,1.0
359,0.8480825761370351,1.0,0.9067542691927598,1.0
360,0.8480825761370351,1.0,0.9067542691927598,1.0
361,0.8480825761370351,1.0,0.9067542691927598,0.9999999999999998
362,0.8480825761370351,0.9999999999999999,0.9067542691927598,1.0
363,0.8480825761370351,1.0,0.9067542691927598,0.9999999999999998
364,0.8480825761370351,0.9999999999999999,0.9067542691927598,1.0
