,NAGLAS/LBUSTRUU inst_corr,NAGLAS/LBUSTRUU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,-0.057855039362351035,
63,-0.012754059095407869,
64,0.6970659635533073,
65,0.16394140407385277,
66,0.5740396639584715,
67,0.9199101005417003,
68,0.2918735015560991,
69,0.3436511122075697,
70,-0.2007047055757483,
71,-0.3185653077242257,
72,-0.740425077666423,
73,0.4066916471491471,
74,0.9535635364342643,
75,0.5494859210005316,
76,-0.17418465586719817,
77,-0.16012718026145684,
78,0.6051605999136649,
79,0.6051605999136649,
80,0.6771139797201633,
81,0.9608932062365481,
82,0.019697171272922778,
83,0.7486230400963995,0.2677591718566194
84,0.6472397993045339,0.2775587337445261
85,0.9326898370837868,0.34177294073522874
86,0.1365543882221635,0.2521944516486552
87,-0.2561735464565437,0.23653217067450114
88,0.3630853712732063,0.2132978819838647
89,0.07839783220669141,0.11495071811350988
90,-0.41414755552061633,0.012030122678374217
91,0.01766192393619176,-0.001924580460284196
92,-0.01995405308865463,-0.039103097089439
93,0.6074561827258191,0.07746868135164509
94,0.2894277172618009,0.20379299482164398
95,-0.2490040723604568,0.1083929641207408
96,0.4822591580948963,0.12111078366331263
97,0.6127296216370469,0.12632747084175724
98,0.12278280918076201,0.15852205345643589
99,-0.7957563778492033,0.11814489223743505
100,-0.6844547663874567,0.06549630250160712
101,0.7854276591277699,0.11174845009384721
102,0.8717335495563899,0.14467823655871043
103,0.35653417997821474,0.0980845237013622
104,0.7538676410401434,0.17228161695443953
105,0.5453102376411364,0.1691092002182267
106,0.3972605781603386,0.11606509538334303
107,0.4764158443248001,0.0841330023063661
108,0.7602248309864631,0.1212709487491953
109,0.5553602793789852,0.1439376527071741
110,0.6211631075821527,0.15196650658796532
111,0.17416966764050648,0.10904395438888496
112,0.6780523224147533,0.21792588831849735
113,0.6443860360758236,0.22427822373191497
114,0.36907890096681967,0.29165130947998474
115,0.8892964922526592,0.2682117455708134
116,0.20698232456127277,0.24593645214321214
117,0.6030271208700342,0.29498702908105556
118,-0.06993496481392501,0.2712312507771842
119,-0.06248516212754026,0.24654783250152393
120,0.45427267201959565,0.25409849882060864
121,0.26690338625838084,0.3806468936430032
122,0.5978500606045343,0.42030053438218523
123,0.3998182108390662,0.39948700855500696
124,0.9136820157614604,0.38759737908567415
125,0.7543481326729728,0.3828187899499546
126,0.70012994050596,0.3357976049791541
