,FTMIGMI/SET inst_corr,FTMIGMI/SET hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,2.1353236530126765,
121,2.1353236530126765,
122,0.5910601064056948,
123,0.5910601064056948,
124,0.5910601064056948,
125,0.5910601064056948,
126,0.5910601064056948,
127,0.5910601064056948,
128,0.5910601064056948,
129,0.5910601064056948,
130,0.5910601064056948,
131,0.5910601064056948,
132,0.5910601064056948,
133,0.5910601064056948,
134,0.5910601064056948,
135,0.5910601064056948,
136,0.5910601064056948,
137,0.6300375213687384,
138,0.28078031578338425,
139,0.4263018987500893,
140,0.4263018987500893,
141,0.4263018987500893,
142,0.4263018987500893,0.4750138720743088
143,0.4263018987500893,0.4534698512773768
144,0.4263018987500893,0.47813527332590083
145,0.4263018987500893,0.4562832457509562
146,0.8898605256673168,0.4685677651885943
147,0.8898605256673168,0.49225256543492285
148,0.8898605256673168,0.45951976051676596
149,0.8898605256673168,0.4368228738542497
150,0.8898605256673168,0.4459987936382025
151,0.8898605256673168,0.40744684998723846
152,0.8898605256673168,0.4075469804008625
153,0.8898605256673168,0.42324982693489843
154,0.8898605256673168,0.4446200139386203
155,0.8898605256673168,0.4332032034599034
156,0.6713385978707193,0.37982571845526936
157,0.7827106134612763,0.4207467072015519
158,0.7827106134612763,0.3600693757005834
159,0.7827106134612763,0.4731037889785756
160,0.7827106134612763,0.5340910074823436
161,0.8445595895482462,0.5044795331651953
162,0.5705348446292116,0.36482729481789156
163,0.5209455864633273,0.4894414089534978
164,0.5209455864633273,0.6309810125913172
165,0.5209455864633273,0.644447438025141
166,0.6911026554957653,0.6313079835981036
167,0.93285238989106,0.5987259900431777
168,0.93285238989106,0.6281093585815537
169,0.2801752092097014,0.603228370776747
170,0.1371682152608865,0.5063052449953123
171,0.1371682152608865,0.5384806245243263
172,0.1371682152608865,0.5256825900168477
173,0.1371682152608865,0.5561046150478323
174,0.9060022029061313,0.5573509082630507
