,HSI/TWSE inst_corr,HSI/TWSE hist_corr,HSI/NKY inst_corr,HSI/NKY hist_corr,NKY/TWSE inst_corr,NKY/TWSE hist_corr
177,0.6331111021394867,0.7535036778055383,0.4719681776189065,0.7882009716911347,0.7847556671841978,0.8260965196739849
178,0.6331111021394867,0.7868586522221644,0.4719681776189065,0.7705038140846706,0.9530022549877785,0.8410292197838037
179,0.6331111021394867,0.7928521834705271,0.4774945274732793,0.73804971159638,0.9530022549877785,0.8727423158372042
180,0.6331111021394867,0.7991920955527366,0.3638385535906423,0.7635235267277658,0.8175323789054487,0.876161527934859
181,0.6331111021394867,0.7999840196977083,0.01787380919999872,0.6670138576913334,0.8175323789054487,0.8779825864414299
182,0.6331111021394867,0.7989746071890393,0.633348153185904,0.6656994893170592,0.7729393215804794,0.8774450550157153
183,0.9379862640416832,0.7989695090126879,0.633348153185904,0.6712596693279141,0.7729393215804794,0.8597465413018626
184,0.7170917843459238,0.8008767347115308,0.633348153185904,0.6763757112534361,0.6626163322667833,0.8237626490491533
185,0.7170917843459238,0.7978148106151878,0.9222692422488721,0.6790224879913315,0.9357396986239223,0.8165181614859798
186,0.7170917843459238,0.818325023672773,0.7937287224795275,0.6355818960430442,0.9357396986239223,0.816168496047496
187,0.7170917843459238,0.8224797344325702,0.6520425017103825,0.6469397328325787,0.9357396986239223,0.8340934065343967
188,0.7170917843459238,0.8398055535126492,0.3092074188379415,0.613619448903642,0.9357396986239223,0.8360999540188927
189,0.7594214699900794,0.8485289977428027,0.5395124485123776,0.6326299706279045,0.9357396986239223,0.844649742374217
190,0.7594214699900794,0.8555270990150582,0.5395124485123776,0.6221143605737953,0.9357396986239223,0.8459738350492312
191,0.7594214699900794,0.8520923538198575,0.5395124485123776,0.6489051296767079,0.9357396986239223,0.8526074119420102
192,0.7594214699900794,0.8599488925978848,0.5395124485123776,0.665809967797597,0.9357396986239223,0.8520954718390968
193,0.7594214699900794,0.8585570986787435,0.5395124485123776,0.7078886366302871,0.9357396986239223,0.8575098510154329
194,0.7594214699900794,0.8640463790995714,0.6374847373224948,0.7148127296463058,0.9357396986239223,0.8630565201168355
195,0.7594214699900794,0.8571544369100322,0.6374847373224948,0.7351655083666996,0.9357396986239223,0.8620674334509367
196,0.7594214699900794,0.9232746160931461,0.6374847373224948,0.5761897515271777,0.9357396986239223,0.8492536793799
197,0.7594214699900794,0.9312683531132941,0.6374847373224948,0.5904951977463816,0.9357396986239223,0.7693613674019747
198,0.5638333078461403,0.9169428370505488,0.6374847373224948,0.594384800739657,0.919359514529225,0.7687130693132471
199,0.5638333078461403,0.9232199230898777,0.6374847373224948,0.5061387611974616,0.9661044918217883,0.8262964043594625
200,0.5638333078461403,0.8732031718453493,0.6374847373224948,0.5306073737275364,0.9661044918217883,0.8051777244813263
201,0.8134930002849077,0.857676989742899,0.123228599703048,0.5925558564847501,0.9661044918217883,0.8348711160808862
202,0.8134930002849077,0.8750579581240445,0.22754784289979404,0.48081383040290304,0.9661044918217883,0.8281290194013263
203,0.8134930002849077,0.8662377716998843,0.22754784289979404,0.6648157079066208,0.9661044918217883,0.828545366097921
204,0.8134930002849077,0.8563580249822422,0.22754784289979404,0.6842864345260459,0.9661044918217883,0.8315978949391049
205,0.8134930002849077,0.8493080855235511,0.5938885050437163,0.6761839040898019,0.9661044918217883,0.8540494247963814
206,0.8134930002849077,0.8233886661434849,0.5938885050437163,0.673837800401915,0.9661044918217883,0.8830137395872132
207,0.8134930002849077,0.8327854088373706,0.5938885050437163,0.6669930443629958,0.9661044918217883,0.8811419292516647
208,0.8134930002849077,0.8091703522772794,0.7415582851153572,0.6981760556698842,0.9661044918217883,0.8807361832455898
209,0.8134930002849077,0.8051801748331273,0.7916494548933727,0.6374139433225448,0.9661044918217883,0.8585849455287675
210,0.7078005241836739,0.7711390637368856,0.7916494548933727,0.6958909596914975,0.9661044918217883,0.8554474308500398
211,0.7078005241836739,0.7569260880632425,0.7916494548933727,0.6774627541583026,0.9661044918217883,0.8592963245253522
212,0.7078005241836739,0.7161504274064353,0.7916494548933727,0.6764771325235684,0.9661044918217883,0.8568305891594115
213,0.7078005241836739,0.7666509000225233,0.7916494548933727,0.6379069847142841,0.9661044918217883,0.7790640970568667
214,0.7078005241836739,0.743300285865552,0.7916494548933727,0.630164743378205,0.9721062567759462,0.792790134902678
215,0.8499455680379122,0.7484678062874485,0.9618579163878304,0.6300318571707424,0.9721062567759462,0.7385423249752543
216,0.20103045265108113,0.6291682573176866,0.9618579163878304,0.6000390749974747,0.9721062567759462,0.6705004314420521
217,0.7318815915036911,0.6199379806164085,0.9618579163878304,0.5593305597806082,0.9721062567759462,0.6803764455483206
218,0.7318815915036911,0.6302981839291213,0.9618579163878304,0.5744632578256574,0.5188374766135917,0.6531142915819792
219,0.7318815915036911,0.650286071437603,0.9618579163878304,0.5545694848480536,0.5188374766135917,0.6514785153197463
220,0.7318815915036911,0.6985289284037995,0.9618579163878304,0.5548325726697565,0.5188374766135917,0.6404734716499141
221,0.7318815915036911,0.6387468599598481,0.9618579163878304,0.5609441077815575,0.5188374766135917,0.5849480919209025
222,0.7318815915036911,0.6585806419190321,0.9618579163878304,0.5830299352756172,0.5188374766135917,0.5519650740416177
223,0.7318815915036911,0.6133522857404894,0.9618579163878304,0.5944930351971413,0.5188374766135917,0.428298769657224
224,0.7318815915036911,0.5680855277492204,0.9618579163878304,0.6317806880963537,0.5188374766135917,0.3199133706538681
225,0.7318815915036911,0.5997805743644916,0.9618579163878304,0.5711246771413835,0.5188374766135917,0.3023186333850693
226,0.7318815915036911,0.6046511720276778,0.9618579163878304,0.5188273750350143,0.5188374766135917,0.261183543461209
227,0.7318815915036911,0.6237475420436751,0.9618579163878304,0.5596221083690723,0.5188374766135917,0.3233886544965069
228,0.7318815915036911,0.646393927845081,0.9618579163878304,0.4053619257603262,0.5188374766135917,0.29581842000122566
