,FNERTR/LG30TRUU inst_corr,FNERTR/LG30TRUU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,0.061402072362345135,
113,0.3328089578741351,
114,0.03938497966106482,
115,-0.5401414990850811,
116,-0.7056269691350613,
117,-0.3675966301072104,
118,0.016322335151614572,
119,-0.16475981299464104,
120,-0.20080325665476334,
121,-0.001533286609918406,
122,0.4093506076829588,
123,0.5813546788313116,
124,0.55478263613731,
125,0.4405628430409319,
126,0.471822472009707,
127,0.23172266144849987,
128,0.24255036483502068,
129,0.19275844236663556,
130,0.15276165620688745,
131,0.08154300302966559,
132,0.2743253600298485,
133,0.2850493221167349,0.1257501665023009
134,0.13981760493942302,0.2456260060086356
135,-0.32351787480123195,0.15913599926905134
136,-0.4676970657578905,0.12348807021742941
137,-0.16898815224669503,0.1763266914808941
138,0.15244532255609483,0.19561244740900685
139,0.22358334216250608,0.21491483149780277
140,0.17207150037673463,0.19982727728124833
141,0.14237253353426282,0.2196657744977512
142,0.25003412989072904,0.23117178455253232
143,0.4870387012013319,0.28738359376154665
144,0.3789618202442687,0.27859955413334847
145,0.5295335024815689,0.2984756953485605
146,0.5583594757125566,0.22707808928362802
147,0.10216093353181371,0.1466469083825302
148,-0.17809716205675014,0.12007704127355115
149,-0.03988252115696135,0.06362025593616567
150,-0.261481774610515,0.15032566897436084
151,-0.5387461232937866,0.013911419251598792
152,-0.5286072493943414,-0.07730270211044511
153,0.24964647244680455,-0.03016740222035991
154,0.03513522533476531,0.026986236843899142
155,-0.0014034807797523475,-0.07542805076063758
156,0.04978840560185084,-0.09660156629262612
157,0.22232080115696007,-0.0949057601033493
158,0.6640066979778114,0.10415015445991503
159,0.8983043426550857,0.1085995819993655
160,0.5102566299610289,0.1473847931296272
161,0.369816137662605,0.11812752776858436
162,0.3766870704804468,0.11543313921247698
163,0.11296152084066967,0.0981119852619301
164,0.41954696705014566,0.15894868777332247
165,0.42542868672723916,0.15567873545844296
166,-0.03408379666230705,0.1368468168968843
