,FTMIGMI/LG30TRUU inst_corr,FTMIGMI/LG30TRUU hist_corr,NDDLCA/TWSE inst_corr,NDDLCA/TWSE hist_corr,CAC/FNERTR inst_corr,CAC/FNERTR hist_corr
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,1.1928893126225446,,,,,
107,1.1928893126225446,,,,,
108,0.5882717460564815,,,,,
109,0.5882717460564815,,,,,
110,0.5882717460564815,,,,,
111,0.9957996898689766,,,,,
112,0.6990093136199047,,,,,
113,0.5684785343916153,,,,,
114,0.5070973181121015,,,,-0.17664384599538285,
115,0.6830543880905906,,,,-0.9224535290780035,
116,0.4030199907003939,,,,-0.9224535290780035,
117,0.7047632336679505,,,,-0.9980214570654885,
118,0.7047632336679505,,,,-0.04847831510817802,
119,0.7047632336679505,,,,0.08045648057214339,
120,0.7047632336679505,,,,0.15460068716180347,
121,0.7047632336679505,,,,-0.21216913961909506,
122,0.7047632336679505,,1.5910071794623684,,-0.39733681673744164,
123,0.7047632336679505,,1.5910071794623684,,0.12146997941760886,
124,0.7047632336679505,,0.6182136397829737,,0.09630557906189956,
125,0.7047632336679505,,0.7976518124384985,,-0.07233973346547948,
