,TWSE/HSI inst_corr,TWSE/HSI hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,3.8009795631524446,
129,3.8009795631524446,
130,0.7834206087771538,
131,0.69114949496664,
132,0.69114949496664,
133,0.69114949496664,
134,0.69114949496664,
135,0.69114949496664,
136,0.69114949496664,
137,0.69114949496664,
138,0.69114949496664,
139,0.69114949496664,
140,0.69114949496664,
141,0.69114949496664,
142,0.69114949496664,
143,0.69114949496664,
144,0.69114949496664,
145,0.69114949496664,
146,0.69114949496664,
147,0.9208744728049288,
148,0.9208744728049288,
149,0.9208744728049288,
150,0.9208744728049288,0.6891961937879235
151,0.9208744728049288,0.7110349825634914
152,0.9208744728049288,0.7164213023503015
153,0.9208744728049288,0.682280562173037
154,0.9208744728049288,0.4212732950976178
155,0.9208744728049288,0.4308032449211946
156,0.9208744728049288,0.44221858574520606
157,0.9208744728049288,0.346950720255593
158,0.9208744728049288,0.27520311307716006
159,0.9208744728049288,0.28703988226689325
160,0.9208744728049288,0.3365557110265352
161,0.9208744728049288,0.18887050040334563
162,0.9208744728049288,0.18533620727488856
163,0.9208744728049288,0.1755578762618405
164,0.9208744728049288,0.24667607134829705
165,0.9861926059816675,0.2488874670969931
166,0.7127366835509349,0.16629645732156753
167,0.9257549971161912,0.06405879008982847
168,0.9257549971161912,0.2741236754719852
169,0.9257549971161912,0.2917417293079548
170,0.9257549971161912,0.19060586010467545
171,0.3521334621681794,0.22686329834252908
172,0.3534200285687097,0.37201277003980376
173,0.3534200285687097,0.8111635942532053
174,0.3534200285687097,0.7424864383683735
175,0.35721004817536334,0.7397330620848533
176,0.8175363140169689,0.7554112445599225
177,0.6333100844543237,0.7535036778055383
178,0.6333100844543237,0.7868586522221646
179,0.6333100844543237,0.7928521834705271
180,0.6333100844543237,0.7991920955527366
181,0.6333100844543237,0.7999840196977083
