,NAGLAS/M1CXIAMA inst_corr,NAGLAS/M1CXIAMA hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,1.431718153171246,
107,1.431718153171246,
108,1.431718153171246,
109,1.431718153171246,
110,1.431718153171246,
111,1.431718153171246,
112,1.431718153171246,
113,1.431718153171246,
114,1.431718153171246,
115,1.431718153171246,
116,1.431718153171246,
117,1.431718153171246,
118,1.431718153171246,
119,1.431718153171246,
120,1.431718153171246,
121,1.431718153171246,
122,1.431718153171246,
123,1.431718153171246,
124,1.431718153171246,
125,1.431718153171246,
126,1.431718153171246,
127,1.431718153171246,1.0
128,1.431718153171246,1.0
129,1.431718153171246,1.0
130,1.431718153171246,1.0
131,1.431718153171246,1.0
132,1.431718153171246,1.0
133,1.431718153171246,1.0
134,1.431718153171246,0.9999999999999999
135,1.431718153171246,1.0
136,1.431718153171246,1.0
137,1.431718153171246,1.0
138,1.431718153171246,1.0
139,1.431718153171246,1.0
140,1.431718153171246,1.0
141,1.431718153171246,1.0
142,1.431718153171246,1.0
143,1.431718153171246,0.9999999999999999
144,1.431718153171246,1.0
145,1.431718153171246,1.0
146,1.431718153171246,1.0
147,1.431718153171246,1.0
148,1.431718153171246,0.9999999999999998
149,1.431718153171246,0.9999999999999998
150,0.9572827465396605,1.0
151,0.9572827465396605,1.0
152,0.7513902000339429,1.0
153,0.726769712867368,1.0
154,0.726769712867368,1.0
155,0.726769712867368,1.0
156,0.9977936124107173,1.0
157,0.9977936124107173,1.0
158,0.9977936124107173,0.9999999999999998
159,0.9977936124107173,0.9999999999999998
160,0.7688320961036059,1.0
161,0.977034359796017,0.9999999999999999
162,0.977034359796017,1.0
163,0.977034359796017,0.9999999999999999
164,0.977034359796017,1.0
165,0.977034359796017,0.9999999999999999
166,0.977034359796017,1.0
167,0.977034359796017,1.0
168,0.977034359796017,1.0
169,0.977034359796017,0.9999999999999999
170,0.977034359796017,0.9999999999999999
171,0.977034359796017,1.0
172,0.977034359796017,1.0
173,0.977034359796017,1.0
174,0.977034359796017,1.0
