,TWSE/HSI inst_corr,TWSE/HSI hist_corr,HSI/UKX inst_corr,HSI/UKX hist_corr,TWSE/UKX inst_corr,TWSE/UKX hist_corr
137,0.69114949496664,,0.70674291052297,,0.13780336300374418,
138,0.69114949496664,,0.8982898306415277,,0.38302868970031295,
139,0.69114949496664,,0.7234224319131526,,0.38302868970031295,
140,0.69114949496664,,0.7234224319131526,,0.38302868970031295,
141,0.69114949496664,,0.7934059145229871,,0.38302868970031295,
142,0.69114949496664,,0.06987568419141728,,0.5316482803588072,
143,0.69114949496664,,-0.20376280693246215,,0.5832435509735492,
144,0.69114949496664,,0.4205609295064587,,0.8943960115736207,
145,0.69114949496664,,0.4205609295064587,-0.004255892022362192,0.843593886971109,
146,0.69114949496664,,0.4205609295064587,-0.04348997514928607,0.8089171776449513,
147,0.9208744728049288,,0.4205609295064587,-0.04154235990095188,0.6106357348693671,
148,0.9208744728049288,,0.4205609295064587,-0.09964217362290578,0.6106357348693671,
149,0.9208744728049288,,0.4205609295064587,-0.11514920848434457,0.6106357348693671,-0.047605874094354496
150,0.9208744728049288,0.6891961937879235,0.4205609295064587,-0.1314138385151306,0.6106357348693671,-0.02142941656056312
151,0.9208744728049288,0.7110349825634914,0.4205609295064587,-0.23876465860412066,0.6106357348693671,-0.05736373942668113
152,0.9208744728049288,0.7164213023503015,0.4205609295064587,-0.28776094279882714,0.6106357348693671,-0.12570685560104017
153,0.9208744728049288,0.682280562173037,0.6200822059908955,-0.27946879752009346,0.6106357348693671,-0.137483525674283
154,0.9208744728049288,0.4212732950976178,0.9532574947163213,-0.2343018212751765,0.6106357348693671,-0.21595667817756467
155,0.9208744728049288,0.4308032449211946,0.9532574947163213,-0.34208190434758406,0.6106357348693671,-0.26658951515897145
156,0.9208744728049288,0.44221858574520606,0.9532574947163213,-0.2714544007264659,0.6106357348693671,-0.3825164518769969
157,0.9208744728049288,0.346950720255593,0.9532574947163213,-0.29442122962173345,0.6106357348693671,-0.3461951205269184
158,0.9208744728049288,0.27520311307716006,0.9530125392109033,-0.2431571498774255,0.6106357348693671,-0.32604068203359915
159,0.9208744728049288,0.28703988226689325,0.7576681740509309,-0.14391111469397314,0.6106357348693671,-0.3068805946245885
160,0.9208744728049288,0.3365557110265352,0.6184696041588496,-0.03280003811296129,0.6106357348693671,-0.21606412004275652
161,0.9208744728049288,0.18887050040334563,0.6184696041588496,0.07271029117979004,0.6106357348693671,-0.23395462245646814
162,0.9208744728049288,0.18533620727488856,0.6184696041588496,0.08527428964143123,0.6106357348693671,-0.25355483124307615
163,0.9208744728049288,0.1755578762618405,0.8130673794465694,0.2683120638110637,0.6106357348693671,0.11913365535196202
164,0.9208744728049288,0.24667607134829705,0.4168043311469717,0.2664109101169284,0.8628159926668814,0.24223071172060143
165,0.9861926059816675,0.2488874670969931,0.5435857851572227,0.43535538652877964,0.847511290363679,0.17767410562646588
166,0.7127366835509349,0.16629645732156753,0.5435857851572227,0.4640991482970309,0.847511290363679,0.2474560043114611
167,0.9257549971161912,0.06405879008982847,0.543156097757513,0.5508928098319812,0.9324375764438868,0.4579344289542905
