,JPEIGLBL/KOSPI inst_corr,JPEIGLBL/KOSPI hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,0.5459001332131436,
133,0.6948492131138548,
134,0.2443685218228417,
135,0.32064370847183277,
136,0.33722927448478085,
137,0.33722927448478085,
138,0.33722927448478085,
139,0.33722927448478085,
140,0.33722927448478085,
141,0.33722927448478085,
142,0.33722927448478085,
143,0.33722927448478085,
144,0.33722927448478085,
145,0.6684437789593486,
146,0.4359173032721911,
147,0.7229414952223926,
148,0.7229414952223926,
149,0.8618889781684216,
150,0.8618889781684216,
151,0.8618889781684216,
152,0.8618889781684216,
153,0.6526018752607927,
154,0.26960287261600996,0.09068298149458809
155,0.7766864367505615,0.13375326881139735
156,0.7766864367505615,0.15897785713172485
157,0.7766864367505615,0.1407849588555986
158,0.8215847470579581,0.2791482720176365
159,0.5717898633799023,0.2041783442500229
160,0.5717898633799023,0.2568511590460374
161,0.5717898633799023,0.2629181164891342
162,0.6165750091419436,0.2511483746144845
163,0.23937457103145016,0.18793212461251108
164,0.664662516020697,0.21737147680672836
165,0.664662516020697,0.25046831381787393
166,0.9544001053681466,0.2542297097965405
167,0.9544001053681466,0.2948134963034995
168,0.6040877914258672,0.28124322704592797
169,0.08242177671393165,0.20816588860437912
170,0.37276684325569387,0.24019497572247014
171,0.6692897435404849,0.24124802697264863
172,0.6028241901957474,0.2413257160520691
173,0.8274805126499809,0.42338751128083413
174,0.6468297409537691,0.4854138363105206
175,0.1900702487397099,0.47074240192726796
176,-0.27408154742319407,0.37205458479415365
177,-0.14342153118836687,0.19809201690746875
178,-0.14342153118836687,0.33686421717727355
179,-0.14342153118836687,0.35704881131038013
180,0.26994230451558376,0.3513021846427376
181,-0.2546271940644735,0.31082768327552374
182,-0.5399847561370144,0.21112776403502853
183,-0.1686708532710625,0.2084946782710613
