,LBUSTRUU/SPX inst_corr,LBUSTRUU/SPX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,1.7185401233528044,
115,1.7185401233528044,
116,0.7583423093062358,
117,0.7583423093062358,
118,0.7583423093062358,
119,0.7583423093062358,
120,0.7583423093062358,
121,0.7583423093062358,
122,0.7583423093062358,
123,0.7583423093062358,
124,0.7583423093062358,
125,0.7583423093062358,
126,0.7583423093062358,
127,0.7583423093062358,
128,0.7583423093062358,
129,0.7583423093062358,
130,0.7583423093062358,
131,0.7583423093062358,
132,0.7583423093062358,
133,0.6221781889218275,
134,0.45404460536268915,
135,0.634456548987975,
136,0.6974762287997306,0.23549263663743694
137,0.8642482537781951,0.24254949929799852
138,0.8642482537781951,0.24416452451451773
139,0.8642482537781951,0.24949705077573248
140,0.8642482537781951,0.22333933751649818
141,0.764526060271579,0.2891337970749834
142,0.7013343376840799,0.3697884437022941
143,0.5489915777403763,0.40777401071356545
144,0.18866977460985945,0.26667406231793117
145,0.6873317586569799,0.19579133708777358
146,0.9439134875218985,0.2077132150019493
147,0.43962627692600803,0.20826416200467196
148,0.5724641706368298,0.1994814779472962
149,0.9598379910792533,0.14221768743119498
150,0.5413588784206416,0.1041682432853405
151,0.3422686142494269,0.06802929013168471
152,0.6732483477837605,-0.1056364454813799
153,0.9484215238737672,0.12342891792389081
154,0.7532643070956828,0.2538485238579412
155,0.5904006579615704,0.23966518907831466
156,0.4290397657149166,0.29141965238919126
157,0.41020155691279103,0.5134367802200805
158,0.2471593441626715,0.5397159758243195
159,-0.20528488653183155,0.3067851154754094
160,0.11709045834646854,0.2746740962709713
161,0.272624959671092,0.45657351160433707
162,0.23763188204934857,0.22043101305762053
163,0.7849173096406792,0.26892947505565984
164,0.4669973653424265,0.24995666966719288
165,0.26398798177717003,0.23486102210105933
166,0.6584389281776638,0.30282411009081556
167,0.6584389281776638,0.2954345891669557
168,0.6584389281776638,0.2974008635693725
169,0.6787174737437413,0.3040185910166592
