,JPEIGLBL/TWSE inst_corr,JPEIGLBL/TWSE hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,1.6700845547594287,
131,1.6700845547594287,
132,0.09028580107709683,
133,-0.13131920424184637,
134,-0.19903452591468124,
135,0.7074286880864187,
136,0.7074286880864187,
137,0.7074286880864187,
138,0.7074286880864187,
139,0.7074286880864187,
140,0.7074286880864187,
141,0.9735783603802254,
142,0.9023135772862495,
143,0.9906298004533696,
144,0.9906298004533696,
145,0.9906298004533696,
146,0.5184422164530538,
147,0.5385230889889903,
148,0.5385230889889903,
149,0.5385230889889903,
150,0.9694544927294069,
151,0.6044046614508545,
152,0.6044046614508545,-0.05585521772404242
153,0.6044046614508545,-0.0485267363648221
154,0.6044046614508545,-0.0199006939397189
155,0.6044046614508545,0.05844311147674818
156,0.588571539845176,0.23447586405847004
157,0.588571539845176,0.3738439531755221
158,0.588571539845176,0.3990785928445696
159,0.588571539845176,0.44644050394129625
160,0.84807235514122,0.439002482647504
161,0.11817996948322186,0.3908264594172999
162,-0.11683767566445441,0.2514697665311414
163,0.15657569958901282,0.3259979571113705
164,0.775597729383564,0.31935473336343656
165,0.775597729383564,0.31853871074754564
166,0.9904780959278803,0.30360305429105716
167,0.26775125225344426,0.29195482443223764
168,-0.000576005660937874,0.19490373035865616
169,0.45791519307196954,0.3067037955876863
170,0.5318406928531023,0.2829657160674909
171,0.5649190646331799,0.25853515449736164
172,0.28111524941962857,0.3074876179821403
173,0.24131585854736323,0.41914519335666467
174,0.28547943298173295,0.2537812374036131
175,0.23059161213393217,0.2702686962647418
176,0.20276532868875982,0.22441021885523946
177,0.20276532868875982,0.2952682651116379
178,0.20276532868875982,0.30699535630823027
179,0.20276532868875982,0.34142271176596256
180,0.61232889659771,0.325627305276226
181,0.5845221504191921,0.33005771903486925
182,0.5845221504191921,0.3326414812755638
