,FTMIGMI/LBEATREU inst_corr,FTMIGMI/LBEATREU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,0.9118537190437566,
54,0.9118537190437566,
55,0.9118537190437566,
56,0.9118537190437566,
57,0.9118537190437566,
58,0.9118537190437566,
59,0.9118537190437566,
60,0.9118537190437566,
61,0.9118537190437566,
62,0.9118537190437566,
63,0.8285712480555156,
64,0.35013182882755706,
65,0.35013182882755706,
66,0.35013182882755706,
67,0.35013182882755706,
68,0.686103775445571,
69,0.686103775445571,
70,0.5022100253212172,
71,0.5022100253212172,
72,0.8218614930449888,
73,0.8218614930449888,
74,0.8218614930449888,
75,0.8218614930449888,0.8652561849872972
76,0.8218614930449888,0.817466133168601
77,0.8218614930449888,0.8248168133644435
78,0.8070929633851952,0.8265518410141821
79,0.8070929633851952,0.8525075246215438
80,0.8070929633851952,0.8473471209444036
81,0.8070929633851952,0.8491830455852956
82,0.8070929633851952,0.8541078125134649
83,0.8070929633851952,0.8541876589259606
84,0.8070929633851952,0.8606997007947669
85,0.8070929633851952,0.8636703600242138
86,0.8070929633851952,0.8776626697084038
87,0.8070929633851952,0.8563409380674756
88,0.8070929633851952,0.8544881273343451
89,0.8070929633851952,0.8513062589201328
90,0.8070929633851952,0.865479340875757
91,0.8070929633851952,0.8471762598357607
92,0.8070929633851952,0.8375131143368741
93,0.8070929633851952,0.7925697359418756
94,0.8070929633851952,0.8140665141012445
95,0.8070929633851952,0.7733045703587851
96,0.5829727824829238,0.843027383220706
97,0.5829727824829238,0.8621316155627641
98,0.5829727824829238,0.8589721225592242
99,0.5829727824829238,0.8602810625751908
100,0.5829727824829238,0.8631021198415352
101,0.5829727824829238,0.8311248003187564
102,0.5829727824829238,0.7967245144538584
103,0.6229063457011687,0.6911936099983154
104,0.9255201906329634,0.7302303278462865
105,0.3090108554552763,0.685409257687514
106,0.3090108554552763,0.7483436621167765
107,0.3090108554552763,0.7561144772252018
108,0.3090108554552763,0.7560121888833977
109,0.3090108554552763,0.775196220980568
110,0.3090108554552763,0.7890863107850254
111,0.3090108554552763,0.7947261055377889
112,0.3090108554552763,0.7777041049252198
113,0.5391216912102473,0.7629556902744342
114,0.5391216912102473,0.8205642950765369
115,0.5391216912102473,0.8284073282702608
116,0.5391216912102473,0.8356784327815326
117,0.5391216912102473,0.844249708139831
118,0.5391216912102473,0.8461833578698513
119,0.5391216912102473,0.8296657743242197
120,0.41184306083306704,0.8378956285404012
121,0.41184306083306704,0.8596150089492425
122,0.41184306083306704,0.8447873229948665
123,0.41184306083306704,0.8460060369121124
124,0.41184306083306704,0.8632270069558906
125,0.41184306083306704,0.908150549534335
126,0.41184306083306704,0.9097327711497064
127,0.41184306083306704,0.9430903100988423
128,0.9630662604593483,0.9256587748303557
129,0.9630662604593483,0.931459867593499
130,0.9630662604593483,0.9347532924795758
131,0.9630662604593483,0.9335951628089204
132,0.7823567612538884,0.9333448562211591
133,0.7823567612538884,0.9363785501788819
134,0.7823567612538884,0.9381821792350818
135,0.7823567612538884,0.9390514139280437
136,0.7823567612538884,0.9282021659658704
137,0.7823567612538884,0.9136173798012067
138,0.7823567612538884,0.9103727696200739
139,0.7823567612538884,0.9096650488776604
140,0.7823567612538884,0.9207932042162501
141,0.5850783086309542,0.9243744806022441
142,0.5850783086309542,0.9316496854119293
143,0.6602787590111124,0.9169914409771198
144,0.6602787590111124,0.9083515229298035
145,0.878086112078656,0.9075740550677099
146,0.33410133403297265,0.9048407279309872
147,0.9741828640386416,0.9048469568074963
148,0.9741828640386416,0.9262687440369838
149,0.9180432382814483,0.9293415556789699
150,0.9180432382814483,0.9283031505639497
151,0.8901613546705265,0.9264769643641286
152,0.8901613546705265,0.9261456774555702
153,0.8231962269435763,0.9246106864439989
154,0.9265879135134948,0.9103616142935358
155,0.9265879135134948,0.9127277585158151
156,0.9606681771960508,0.9159300597141165
157,0.9606681771960508,0.9115255626658793
158,0.9606681771960508,0.9108932388123265
159,0.9606681771960508,0.9111736758629201
160,0.9606681771960508,0.9125003874575068
161,0.9606681771960508,0.9270309124755461
162,0.5178940699018109,0.9310689815954623
163,0.5178940699018109,0.9400824274999489
164,0.5178940699018109,0.9305313337356609
165,0.5178940699018109,0.9287981908383488
166,0.5178940699018109,0.9365124979131453
167,0.9975492519971069,0.9372700346465088
168,0.9975492519971069,0.9403439220178025
169,0.9975492519971069,0.9409601857407806
170,0.9975492519971069,0.9252896299887687
171,0.9975492519971069,0.9235781978662871
172,0.9975492519971069,0.9369177125660594
173,0.9975492519971069,0.9309141270864955
174,0.9975492519971069,0.9291310801615726
175,0.9975492519971069,0.9352142127369961
176,0.9975492519971069,0.9353648811204922
177,0.9975492519971069,0.9256762291107079
178,0.9975492519971069,0.9246235657930388
179,0.9975492519971069,0.9298730516801931
180,0.9975492519971069,0.9258956014179611
181,0.9975492519971069,0.9314108894456447
