,MXBR/XNBI inst_corr,MXBR/XNBI hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,0.18800069662058277,
107,0.555868116960622,
108,0.9268696651303575,
109,0.44164386444895987,
110,0.24573228962126434,
111,0.3684110339255695,
112,0.7188863266898319,
113,0.9433911579294563,
114,0.8693431024070364,
115,0.8693431024070364,
116,0.8693431024070364,
117,0.7802442650073989,
118,0.506110546580454,
119,0.23105699877041863,
120,0.6045617523714797,
121,0.6045617523714797,
122,0.6045617523714797,
123,0.6045617523714797,
124,0.6045617523714797,
125,0.6515756429072954,
126,0.6515756429072954,
127,0.4872960589955538,0.4081632482531524
128,-0.11127414322425488,0.3218425428095499
129,0.10641514478429792,0.27504465859127225
130,0.5699273418401037,0.3304788752839059
131,0.691618714601693,0.32275868247556855
132,0.7918339134714137,0.3520317182057116
133,0.21728838411778684,0.3140052338985924
134,0.13990970592362792,0.3398627830820289
135,0.21381771107439776,0.30113579086519804
136,0.517580164513072,0.2810961809594332
137,0.517580164513072,0.17649308027660598
138,0.43333352956528265,0.18650211338970898
139,0.10070187481141914,0.053087825815057915
140,0.446766703385772,-0.01746595778799867
141,0.597709853871422,0.03482586380633995
142,0.625039372733878,-0.05685866651566577
143,-0.6150731636162527,-0.11184690458181593
144,-0.5188979650746874,-0.40237063782211135
145,-0.1449475508568698,-0.41028327302302164
146,0.8822030438445679,-0.3580770326656173
147,0.8822030438445679,-0.3002629610431828
148,0.5848722935402847,-0.19850040623141296
149,0.506894178644679,-0.20695786847774655
150,0.7095536298561542,-0.16727372353894593
151,0.5587173304052254,0.10921466715900789
152,0.19824736927463116,0.22857563354625116
153,-0.3301904471362475,0.04490333121183383
154,-0.27524903475260687,-0.056521081163506154
155,0.4055929812173653,0.07777359022161315
156,0.7538068815984259,0.10539906519833374
157,0.7538068815984259,0.08567918394842772
158,0.6788001567938791,0.08161943923009767
159,0.670946144348847,0.1882307183006535
160,0.370434950383559,0.21680931788309551
161,0.3937528114756226,0.20806504453193692
162,0.44963529143959535,0.2071699237578748
