,FTMIGMI/LF94TRUU inst_corr,FTMIGMI/LF94TRUU hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,1.4551120528497794,
115,1.4551120528497794,
116,0.4485659472275928,
117,0.5171764239344314,
118,0.5171764239344314,
119,0.5171764239344314,
120,0.9212659961445279,
121,0.8056768624640118,
122,0.8967816016627348,
123,0.9533128201706965,
124,0.31847649565845093,
125,0.32479187481526145,
126,0.32479187481526145,
127,0.32479187481526145,
128,0.32479187481526145,
129,0.32479187481526145,
130,0.32479187481526145,
131,0.32479187481526145,
132,0.852650296226723,
133,0.45634628927822624,
134,0.45928511931975075,
135,0.45928511931975075,
136,0.45928511931975075,0.3445347948431126
137,0.45928511931975075,0.32426888763523
138,0.45928511931975075,0.3407365811333414
139,0.45928511931975075,0.28272039961078954
140,0.7178525950157857,0.20096475570536013
141,0.423334972016713,0.2548421263546966
142,0.2734937229204534,0.15121184833317375
143,0.185110962565282,0.17782495751226085
144,0.1075558602733155,0.051854207591890245
145,0.4669347629281234,0.04175507589442324
146,0.5366617387382606,0.011962692978371233
147,0.7060296485905688,0.13165039490548683
148,0.9078730770514707,0.052480696211543824
149,0.9078730770514707,0.02866507331454508
150,0.9078730770514707,0.025354853157821038
151,0.9078730770514707,0.04094240743071691
152,0.9078730770514707,0.056171245621789524
153,0.9522823444905923,0.14310946759972448
154,0.96222176566091,0.32271940694362033
155,0.5056428305159963,0.3004987596101137
156,0.36010188571173996,0.29103361578642073
157,0.37595603877730127,0.43133064787936587
158,0.31597331028525566,0.6149388072625918
159,-0.026058940634319662,0.3393702781658135
160,0.10746190228328541,0.3301304579852893
161,0.35894740466508357,0.359007527713351
162,0.8666101764126494,0.2694155064190654
163,0.9231234350152313,0.30269771323073735
164,0.5123897444009865,0.32228219242898803
165,0.7359975567949653,0.39035074087740035
166,0.7359975567949653,0.4564111794787402
167,0.7359975567949653,0.4465605422544818
168,0.7691426520249054,0.46051910998042533
169,0.6293793619722577,0.45027803992139054
