,LG30TRUU/SPX inst_corr,LG30TRUU/SPX hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,1.8234088885348132,
115,1.8234088885348132,
116,1.8234088885348132,
117,1.8234088885348132,
118,1.8234088885348132,
119,1.8234088885348132,
120,1.8234088885348132,
121,1.8234088885348132,
122,1.8234088885348132,
123,1.8234088885348132,
124,1.8234088885348132,
125,1.8234088885348132,
126,1.8234088885348132,
127,1.8234088885348132,
128,1.8234088885348132,
129,1.8234088885348132,
130,1.8234088885348132,
131,1.8234088885348132,
132,1.8234088885348132,
133,1.8234088885348132,
134,1.8234088885348132,
135,1.8234088885348132,
136,1.8234088885348132,0.8534751770524857
137,1.8234088885348132,0.8531719469894354
138,1.8234088885348132,0.8858642142255747
139,1.8234088885348132,0.8611426097653352
140,1.8234088885348132,0.8169828529859183
141,1.8234088885348132,0.8316744780461809
142,1.8234088885348132,0.7885639343902688
143,1.8234088885348132,0.7922156053822063
144,1.8234088885348132,0.7763019364414119
145,1.8234088885348132,0.7817537978292255
146,1.8234088885348132,0.7602699887006136
147,1.8234088885348132,0.7380286351947134
148,1.8234088885348132,0.7469483649673819
149,1.8234088885348132,0.734844534348112
150,1.8234088885348132,0.7215245907424177
151,0.6166554735621254,0.6959197948958352
152,0.6166554735621254,0.7546356103533137
153,0.6166554735621254,0.7630385202800046
154,0.6166554735621254,0.833402436026576
155,0.7792227941002434,0.7759305023480916
156,0.27956237093897224,0.770420898774557
157,0.33820505024443714,0.7481665891269088
158,0.33820505024443714,0.882025904468522
159,0.33820505024443714,0.8321833455866549
160,0.28491394506778783,0.8143473786420414
161,0.28491394506778783,0.8607907806557735
162,0.28491394506778783,0.8690796959830146
163,0.28491394506778783,0.8763521997631316
164,0.8447495617740087,0.8760625905932834
165,0.8372624423227593,0.8800923935742703
166,0.8372624423227593,0.8875215382417044
167,0.8372624423227593,0.8752127671833335
168,0.8372624423227593,0.875328306257665
169,0.8372624423227593,0.87439658520834
