,inst_vol,hist_vol,ewma_vol,garch_vol
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,1684.026138620505,,
22,,1641.8220700239822,,
23,,1627.3521524279686,,
24,,1657.7223700783943,,
25,,1635.8385950646189,,
26,,1657.147148096737,,
27,,1693.6563544060582,,
28,,1693.281653568049,,
29,,1762.2131385005016,,
30,,1800.6614223113806,,
31,,1715.5238669818036,,
32,,1656.212907794745,,
33,,1679.7047731035032,,
34,,1659.8449999878828,,
35,,1602.5339008860049,,
36,,1659.2400994939865,,
37,,1862.5790878639332,,
38,,1990.3515859298807,,
39,,2000.206854011682,,
40,,1999.383104182888,,
41,,2129.4784497545697,,
42,,2140.9870478945036,,
43,,2142.241330813604,,
44,,2142.3894301282126,,
45,,2122.366070841685,,
46,,2121.757349549154,,
47,,2191.597390839332,,
48,,2173.04204317316,,
49,,2182.263345710354,,
50,,2120.7418630375955,,
51,,2040.6841469427698,,
52,,1928.6864374006984,,
53,,1941.0260477744355,,
54,,2115.8514984253934,,
55,,2454.1166997593928,,
56,,2373.6371785269607,,
57,,2290.917384145946,,
58,,2100.3226060682337,,
59,,2020.960332577304,,
60,,2026.3600560024756,,
61,,2017.1442485979057,,
62,,1902.7962325274705,,
63,,1899.889011226779,,
64,,1928.4879602735036,,
65,,1986.4001948925218,,
66,,2094.554099034541,,
67,,2096.4396409429264,,
68,,2034.8928923224466,,
69,,2174.991892052595,,
70,,2146.0868090857075,,
71,,2140.256077977083,,
72,,2134.3776795946346,,
73,,2142.4106114324227,,
74,,2156.6363671618083,,
75,,1944.1890006375368,,
76,,1489.439833861619,,
77,,1588.840783223472,,
78,,1598.5502362177922,,
79,,1797.3892228450027,,
80,,1853.6303966100534,,
81,,1818.7408112533913,,
82,,1848.795131540669,,
83,,1871.3861550437705,,
84,,1853.191831577971,,
85,,1828.1974531099522,,
86,,1761.6468915110272,,
87,,1656.0253665729026,,
88,,1688.2607160386576,,
89,,1692.3102616910962,,
90,,1536.6329281903968,,
91,,1602.672048182304,,
92,,1661.7830668579288,,
93,,1688.0931945361392,,
94,,1753.084738388154,,
95,,1732.9895748837132,,
96,,1733.0694064714187,,
97,,1746.6928173846195,,
98,,1685.0859624043183,,
99,,1796.7197149716612,,
100,,1792.384193996724,,
101,,1703.657829547907,,
102,,1756.268226063076,,
103,,1775.1305354110632,,
104,,1750.1838145355553,,
105,,1753.7125666557656,,
106,,1755.911558973617,,
107,,2160.7564707562087,,
108,,2263.4167943036655,,
109,,2225.4597388024717,,
110,,2204.997165033229,,
111,,2196.091138121824,,
112,,2187.495715726801,,
113,,2154.383963407022,,
114,,2163.7437602403897,,
