,inst_vol,hist_vol,ewma_vol,garch_vol
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,5.463932981028783,,
22,,5.0365787978800265,,
23,,5.1826541597491556,,
24,,5.361587852025739,,
25,,5.445287960754587,,
26,,5.447084736224211,,
27,,5.429149799295876,,
28,,6.038461996125858,,
29,,6.579888620962639,,
30,,6.726810524252556,,
31,,6.736294076791005,,
32,,6.7308929768667705,,
33,,6.43991847787338,,
34,,6.470662482989817,,
35,,6.503955239605495,,
36,,6.510215408880046,,
37,,6.554457049432738,,
38,,6.281714568021944,,
39,,6.470223549950209,,
40,,6.469482372871313,,
41,,6.49460676387751,,
42,,6.4926564863146785,,
43,,6.646160526250486,,
44,,6.549766362371849,,
45,,6.122383182340575,,
46,,6.205785457166011,,
47,,6.120428249777351,,
48,,5.903580760060952,,
49,,5.452192668116409,,
50,,5.310409220108019,,
51,,5.146824237299665,,
52,,5.412480998165867,,
53,,5.870472207591381,,
54,,5.655007004420682,,
55,,5.4145113302655625,,
56,,5.415131457164796,,
57,,5.395423863975733,,
58,,5.425175099819744,,
59,,5.32221089778704,,
60,,5.101425661715362,,
61,,5.219775771279138,,
62,,5.221837607541728,,
63,,5.296724105722366,,
64,,5.1242124244871965,,
65,,5.026951478259434,,
66,,5.287206354545642,,
67,,5.042828931164294,,
68,,5.051117696957761,,
69,,5.05909443240931,,
70,,5.423601448844746,,
71,,4.879970773532227,,
72,,4.788192543405166,,
73,,4.379163287894137,,
74,,3.895561462050628,,
75,,4.159836522700448,,
76,,5.262484651530972,,
77,,5.224212899535021,,
78,,5.327046511618456,,
79,,5.465912526900953,,
80,,5.466222641696565,,
81,,5.336955588936928,,
82,,5.556622804423695,,
83,,5.600412046881357,,
84,,6.763852052846336,,
85,,6.732274362856821,,
86,,6.806537414625291,,
87,,6.700344793080146,,
88,,6.815454026868617,,
89,,7.031507175072781,,
90,,7.020224015876249,,
91,,6.5871016836311025,,
92,,6.684005383380163,,
93,,6.706724592000833,,
94,,6.745993746978968,,
95,,6.756002110618006,,
96,,6.690029644425202,,
97,,6.320070939418877,,
98,,6.3114956157694575,,
99,,6.2207720993262114,,
100,,5.994472386226611,,
101,,6.165655485125909,,
102,,6.169335322565683,,
103,,6.079017802195154,,
104,,6.181123852373712,,
105,,4.391524809417865,,
106,,4.687061291058637,,
107,,5.006839459232153,,
108,,5.013467004996237,,
109,,4.668090260583511,,
110,,4.5234145796667065,,
111,,4.591579183567687,,
112,,4.579113790929004,,
113,,4.5250363422082645,,
114,,4.495649923315917,,
115,,4.515360761494675,,
116,,4.515360763116282,,
117,,4.680493346745167,,
118,,4.063777669264694,,
119,,4.094827631287145,,
120,,4.3544359067092495,,
121,,4.6134253657034625,,
122,,4.769724698595446,,
123,,4.768083571244629,,
124,,4.611154178584649,,
125,,4.820369138809758,,
126,,5.028388189929494,,
127,,4.626984545886618,,
128,,5.547975895628813,,
129,,5.567703374165927,,
130,,5.5679156402228225,,
131,,5.701084383624809,,
132,,5.763355371463982,,
133,,5.786820603533811,,
134,,5.810711453636232,,
135,,5.80626285643709,,
136,,5.773358258772088,,
137,,6.027407518947765,,
138,,5.837970343367046,,
139,,5.8377974243246955,,
140,,5.749596154975004,,
141,,5.684540489391585,,
142,,5.682080683300763,,
143,,5.870636549276554,,
144,,6.8907827183029315,,
145,,6.884233413592956,,
146,,6.567713031804388,,
147,,6.886849361197143,,
148,,6.809847112104945,,
149,,6.12547826577256,,
150,,6.1027597385751315,,
151,,6.091769510045326,,
152,,5.963270894328487,,
153,,6.310060667820207,,
154,,6.361551076022732,,
155,,6.494659101894117,,
156,,6.628162260390269,,
157,,6.688420003683018,,
158,,7.186163388170002,,
159,,7.19859712859377,,
160,,7.199235162302611,,
161,,7.25537960953031,,
162,,7.334283772222311,,
163,,7.437690699685144,,
164,,7.184169646688253,,
165,,6.282666740533675,,
166,,6.642314883993119,,
167,,6.789715585951169,,
168,,7.338055703521161,,
169,,7.265699042757319,,
170,,7.277796638782623,,
171,,7.312036407298581,,
172,,7.377751328233835,,
173,,7.473227424413201,,
174,,7.399719577333366,,
