,CAC/TWSE inst_corr,CAC/TWSE hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,0.41692209946267766,
125,0.3169301165681749,
126,0.7062474137835301,
127,0.7062474137835301,
128,0.7062474137835301,
129,0.7062474137835301,
130,0.7062474137835301,
131,0.8088465332934904,
132,0.46064462448129695,
133,0.32547324030107894,
134,0.2737149424190756,
135,0.8545156063901662,
136,0.8545156063901662,
137,0.8545156063901662,
138,0.8545156063901662,
139,0.8545156063901662,
140,0.876496587028978,
141,0.5598529481415957,
142,0.3612140406774686,
143,0.489306370310431,
144,0.46417518449681244,
145,0.6662341812065737,
146,0.6662341812065737,-0.0290435772641542
147,0.6662341812065737,0.01805364217128439
148,0.6662341812065737,-0.02722496279619452
149,0.6662341812065737,-0.07727519088303095
150,0.6662341812065737,-0.06708369751011198
151,0.6662341812065737,-0.03912311296188714
152,0.6662341812065737,-0.014622125116990991
153,0.6662341812065737,-0.006160823926532908
154,0.6662341812065737,0.04360996857083229
155,0.6662341812065737,0.05087278890700681
156,0.6662341812065737,0.10688654975364223
157,0.6662341812065737,0.11149956971312322
158,0.6662341812065737,0.16158515677954088
159,0.6662341812065737,0.07590975902223861
160,0.6662341812065737,0.23478623949693256
161,0.6662341812065737,0.2865003644484973
162,0.5343958053240654,0.23771600018271494
163,0.8153685104609018,0.22262441477122713
164,0.8153685104609018,0.4300215841111681
165,0.6755082427247943,0.4939877825870895
166,0.5078592161974992,0.5041194862714212
167,0.24025552720999702,0.4852343710078244
168,0.2761531358749112,0.6159369141407132
169,0.9973442166742938,0.7750094814740124
170,0.9973442166742938,0.7785937400971081
171,0.45147101260305167,0.7311664935873987
172,0.9340196166850802,0.7479099080867865
173,0.6930998515901183,0.7385274846566509
174,0.6930998515901183,0.7878655556598796
175,0.6930998515901183,0.7865597438136405
176,0.5290926121712748,0.7807441725645216
177,0.5290926121712748,0.7839769541489002
