,FNERTR/FNERTR inst_corr,FNERTR/FNERTR hist_corr
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,0.24281470544856606,
113,0.5184492532869095,
114,0.5184492532869095,
115,0.5184492532869095,
116,0.5184492532869095,
117,0.5184492532869095,
118,0.5184492532869095,
119,0.5184492532869095,
120,0.5184492532869095,
121,0.5184492532869095,
122,0.5184492532869095,
123,0.5184492532869095,
124,0.7644599589490553,
125,0.7738534355881527,
126,0.7738534355881527,
127,0.7738534355881527,
128,0.7738534355881527,
129,0.9092796761734023,
130,0.8714210210879988,
131,0.8714210210879988,
132,0.8714210210879988,
133,0.8714210210879988,1.0
134,0.8714210210879988,1.0
135,0.8714210210879988,1.0
136,0.8714210210879988,1.0
137,0.9847520993149285,1.0
138,0.9847520993149285,0.9999999999999999
139,0.9847520993149285,0.9999999999999999
140,0.9847520993149285,1.0
141,0.9847520993149285,1.0
142,0.9847520993149285,0.9999999999999999
143,0.9847520993149285,1.0
144,0.9847520993149285,1.0
145,0.9847520993149285,1.0
146,0.9847520993149285,1.0
147,0.9847520993149285,1.0
148,0.9847520993149285,1.0
149,0.9911280417178362,1.0
150,0.9918584830976851,1.0
151,0.9918584830976851,0.9999999999999999
152,0.9918584830976851,1.0
153,0.9918584830976851,1.0
154,0.9918584830976851,1.0
155,0.9918584830976851,0.9999999999999998
156,0.9918584830976851,1.0
157,0.9918584830976851,1.0
158,0.9918584830976851,1.0
159,0.9918584830976851,1.0
160,0.9918584830976851,1.0
161,0.9918584830976851,1.0
162,0.9918584830976851,0.9999999999999998
163,0.9918584830976851,0.9999999999999998
164,0.9918584830976851,1.0
165,0.9918584830976851,1.0
166,0.9918584830976851,1.0
167,0.9918584830976851,1.0
168,0.9918584830976851,1.0
169,0.9918584830976851,1.0
170,0.9918584830976851,1.0
171,0.9918584830976851,1.0
172,0.9918584830976851,1.0
173,0.9918584830976851,1.0
174,0.9918584830976851,1.0
175,0.9918584830976851,1.0
176,0.9918584830976851,0.9999999999999998
