,FNERTR/FTMIGMI inst_corr,FNERTR/FTMIGMI hist_corr,JPEIGLBL/LGER inst_corr,JPEIGLBL/LGER hist_corr
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,-0.09495349456533468,,,
113,-0.2977830378550341,,,
114,-0.4692157593861538,,,
115,-0.4441485880439075,,,
116,-0.945021897260826,,,
117,-0.6526368255400485,,,
118,0.29049967386485326,,0.3408283053391485,
119,0.34552131793019164,,0.0625641988053021,
120,-0.05345479706321231,,0.1953242972211842,
121,-0.29545010785352216,,0.7451402279188201,
122,-0.5232847202024561,,0.6010996437763259,
123,-0.08520625963446635,,0.6839061423849848,
124,-0.03721965261830312,,0.6839061423849848,
125,0.00356570960974471,,0.6839061423849848,
126,0.28458655377595893,,0.4728057302477392,
127,0.28132880665747323,,0.916124722140372,
128,-0.20014742514483685,,0.6842364818005506,
129,-0.4247660926103496,,0.6842364818005506,
130,-0.3426371051565974,,0.6842364818005506,
131,-0.43545957851457656,,0.6842364818005506,
132,-0.304075168097625,,0.6842364818005506,
133,0.20332219856667264,-0.28838637441428155,0.6842364818005506,
134,0.2804625470079768,-0.1751147049154564,0.6842364818005506,
135,0.6239877787772385,-0.1539702337985036,0.6842364818005506,
136,0.44079300595148435,-0.06524236054293107,0.7318138007242232,
137,0.1381702150149963,0.10512725420159504,0.8651080651634596,
138,0.34207000835030615,0.1739669399054874,0.8651080651634596,
139,0.42018134097734106,0.2102926440151816,0.9114124414713088,0.078747336931032
140,0.25244485088025165,0.19022579831146724,0.7264354803935666,0.22648144952878396
